start_time,end_time,text
232.5271,235.7771,Brig. Gen. Mark Kimmitt\nU.S. Army
627.2771,630.2771,"L. Paul Bremer\nAdministrator, Iraq"
676.0271,678.7771,Brig. Gen. Mark Kimmitt\nU.S. Army
729.5271,733.0271,Jeffrey Gettleman\nThe New York Times
845.2771,849.2771,Jeffrey Gettleman\nThe New York Times
1007.7771,1015.2771,Jeffrey Gettleman\nThe New York Times
1170.0271,1174.2771,Gwen Ifill
1215.7771,1222.7771,Samer Shehata\nGeorgetown University
1313.7771,1321.0271,Adeed Dawisha\nMiami University of Ohio
1444.7771,1451.7771,Samer Shehata\nGeorgetown University
1527.2771,1534.7771,Adeed Dawisha\nMiami University of Ohio
1823.0271,1827.2771,"Sen. Richard Lugar\nChairman, Foreign Relations Committee"
1959.0271,1966.7771,Sen. Joseph Biden\n(D) Delaware
2147.2771,2150.5271,"Sen. Richard Lugar\nChairman, Foreign Relations Committee"
2322.2771,2331.0271,Sen. Joseph Biden\n(D) Delaware
2723.7771,2726.7771,Sen. John McCain\n(R) Arizona
2752.5271,2755.0271,"Bud Selig\nCommissioner, Major League Baseball"
2784.2771,2788.0271,Terence Smith
2818.2771,2823.2771,Buster Olney\nESPN The Magazine
2896.7771,2903.7771,Buster Olney\nESPN The Magazine
3046.0271,3054.7771,Buster Olney\nESPN The Magazine
3167.5271,3173.7771,Buster Olney\nESPN The Magazine
