start_time,end_time,text
267.7771,272.2771,"DANIEL ORTEGA\nPresident, Nicaragua"
331.5271,335.0271,JAMES BAKER\nSecretary of State
654.2771,658.5271,"DANIEL ORTEGA\nPresident, Nicaragua"
819.0271,823.0271,"DANIEL ORTEGA\nPresident, Nicaragua"
1486.0271,1489.0271,"ALEJANDRO BENDANA\nForeign Ministry, Nicaragua"
1729.2771,1733.2771,"DANIEL ORTEGA\nPresident, Nicaragua"
1946.7771,1951.0271,ROBERT ADLER\nEnvironmental Lawyer
2005.2771,2008.5271,RICHARD SAMP\nWashington Legal Foundation
2196.7771,2201.5271,ROBERT ADLER\nEnvironmental Lawyer
2377.0271,2382.5271,RICHARD SAMP\nWashington Legal Foundation
2742.5271,2747.5271,Dr. DAVID AXELROD\nNew York Health Commissioner
2939.2771,2944.2771,Dr. HARVEY WACHSMAN\nMalpractice Lawyer
3183.7771,3187.5271,Dr. DAVID AXELROD\nNew York Health Commissioner
3307.2771,3311.7771,Dr. HARVEY WACHSMAN\nMalpractice Lawyer
3389.0271,3394.2771,Dr. DAVID AXELROD\nNew York Health Commissioner
