start_time,end_time,text
211.0271,215.5271,NOVEMBER 2010\nRep. John Boehner\nREPUBLICAN LEADER
256.7771,261.5271,SEPTEMBER 2010\nRep. Jeb Hensarling\n(R) TEXAS
317.5271,320.0271,NOVEMBER 2010\nSen.-Elect Mike Lee\n(R) UTAH
345.2771,349.5271,Rep. Rosa DeLauro\n(D) CONNECTICUT
382.7771,388.0271,Rep. Nancy Pelosi\nSPEAKER OF THE HOUSE
443.2771,450.7771,Diane Lim Rogers\nTHE CONCORD COALITION
502.0271,507.7771,James Horney\nCENTER ON BUDGET & POLICY PRIORITIES
559.7771,566.0271,Diane Lim Rogers\nTHE CONCORD COALITION
632.2771,637.0271,James Horney\nCENTER ON BUDGET & POLICY PRIORITIES
749.5271,754.0271,Diane Lim Rogers\nTHE CONCORD COALITION
795.0271,799.7771,James Horney\nCENTER ON BUDGET & POLICY PRIORITIES
943.5271,946.2771,Kwame Holman
967.5271,972.2771,"Adm. John C. Harvey, Jr.\nCOMMANDER, U.S. FLEET FORCES"
1085.7771,1090.2771,"Mayor Brad Carter\nROCKHAMPTON, QUEENSLAND"
1127.5271,1132.5271,Steve Scott\nITN
1252.7771,1258.5271,Sen. Tom Udall\n(D) NEW MEXICO
1289.5271,1294.0271,Sen. Lamar Alexander\n(R) TENNESSEE
1431.7771,1439.0271,Sen. Tom Udall\n(D) NEW MEXICO
1468.5271,1475.0271,Sen. Lamar Alexander\n(R) TENNESSEE
1744.5271,1751.0271,Sen. Tom Udall\n(D) NEW MEXICO
1851.2771,1855.0271,Sen. Lamar Alexander\n(R) TENNESSEE
2010.7771,2013.2771,James Victor Gbeho\nPresident of the ECOWAS Commission
2045.2771,2051.2771,PRESIDENT GOODLUCK JONATHAN\nNIGERIA
2147.2771,2150.5271,Cornelius Dupree
2188.2771,2197.2771,"Craig Watkins\nDISTRICT ATTORNEY, DALLAS COUNTY"
2262.2771,2273.2771,"Craig Watkins\nDISTRICT ATTORNEY, DALLAS COUNTY"
2378.0271,2386.7771,"Craig Watkins\nDISTRICT ATTORNEY, DALLAS COUNTY"
2513.7771,2519.0271,"Craig Watkins\nDISTRICT ATTORNEY, DALLAS COUNTY"
2658.7771,2663.5271,Kwame Dawes\nPOET
2857.5271,2862.5271,Kwame Dawes\nPOET
