start,end,scene-label,text-transcript
00:03:52.527,00:03:55.777,chyron,Brig. Gen. Mark Kimmitt\nU.S. Army
00:10:27.277,00:10:30.277,chyron,"L. Paul Bremer\nAdministrator, Iraq"
00:11:16.027,00:11:18.777,chyron,Brig. Gen. Mark Kimmitt\nU.S. Army
00:12:09.527,00:12:13.027,chyron,Jeffrey Gettleman\nThe New York Times
00:14:05.277,00:14:09.277,chyron,Jeffrey Gettleman\nThe New York Times
00:16:47.777,00:16:55.277,chyron,Jeffrey Gettleman\nThe New York Times
00:19:30.027,00:19:34.277,chyron,Gwen Ifill
00:20:15.777,00:20:22.777,chyron,Samer Shehata\nGeorgetown University
00:21:53.777,00:22:01.027,chyron,Adeed Dawisha\nMiami University of Ohio
00:24:04.777,00:24:11.777,chyron,Samer Shehata\nGeorgetown University
00:25:27.277,00:25:34.777,chyron,Adeed Dawisha\nMiami University of Ohio
00:30:23.027,00:30:27.277,chyron,"Sen. Richard Lugar\nChairman, Foreign Relations Committee"
00:32:39.027,00:32:46.777,chyron,Sen. Joseph Biden\n(D) Delaware
00:35:47.277,00:35:50.527,chyron,"Sen. Richard Lugar\nChairman, Foreign Relations Committee"
00:38:42.277,00:38:51.027,chyron,Sen. Joseph Biden\n(D) Delaware
00:45:23.777,00:45:26.777,chyron,Sen. John McCain\n(R) Arizona
00:45:52.527,00:45:55.027,chyron,"Bud Selig\nCommissioner, Major League Baseball"
00:46:24.277,00:46:28.027,chyron,Terence Smith
00:46:58.277,00:47:03.277,chyron,Buster Olney\nESPN The Magazine
00:48:16.777,00:48:23.777,chyron,Buster Olney\nESPN The Magazine
00:50:46.027,00:50:54.777,chyron,Buster Olney\nESPN The Magazine
00:52:47.527,00:52:53.777,chyron,Buster Olney\nESPN The Magazine
