guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-4t6f18t178-transcript.ann	T1	person	0	14	ROBERT MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T2	person	30	64	Energy Secretary James Schlesinger	https://en.wikipedia.org/wiki/James_R._Schlesinger	https://www.wikidata.org/wiki/Q171989
cpb-aacip-507-4t6f18t178-transcript.ann	T3	location	180	188	New York	https://en.wikipedia.org/wiki/New_York_City	https://www.wikidata.org/wiki/Q60
cpb-aacip-507-4t6f18t178-transcript.ann	T4	person	190	205	Mr. Schlesinger	https://en.wikipedia.org/wiki/James_R._Schlesinger	https://www.wikidata.org/wiki/Q171989
cpb-aacip-507-4t6f18t178-transcript.ann	T5	organization	454	473	United Mine Workers	https://en.wikipedia.org/wiki/United_Mine_Workers_of_America	https://www.wikidata.org/wiki/Q3550709
cpb-aacip-507-4t6f18t178-transcript.ann	T6	location	683	687	Ohio	https://en.wikipedia.org/wiki/Ohio	https://www.wikidata.org/wiki/Q1397
cpb-aacip-507-4t6f18t178-transcript.ann	T7	location	689	697	Maryland	https://en.wikipedia.org/wiki/Maryland	https://www.wikidata.org/wiki/Q1391
cpb-aacip-507-4t6f18t178-transcript.ann	T8	location	702	710	Kentucky	https://en.wikipedia.org/wiki/Kentucky	https://www.wikidata.org/wiki/Q1603
cpb-aacip-507-4t6f18t178-transcript.ann	T9	location	760	773	West Virginia	https://en.wikipedia.org/wiki/West_Virginia	https://www.wikidata.org/wiki/Q1371
cpb-aacip-507-4t6f18t178-transcript.ann	T10	location	778	786	Virginia	https://en.wikipedia.org/wiki/Virginia	https://www.wikidata.org/wiki/Q1370
cpb-aacip-507-4t6f18t178-transcript.ann	T11	person	788	826	Mine Workers` President, Arnold Miller	https://en.wikipedia.org/wiki/Arnold_Miller	https://www.wikidata.org/wiki/Q4795176
cpb-aacip-507-4t6f18t178-transcript.ann	T12	person	1069	1072	Jim	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-4t6f18t178-transcript.ann	T13	person	1075	1085	JIM LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-4t6f18t178-transcript.ann	T14	person	1087	1092	Robin	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T15	person	1914	1919	Robin	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T16	person	1922	1929	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T17	person	1931	1942	Jerry Jones		
cpb-aacip-507-4t6f18t178-transcript.ann	T18	organization	1970	1989	Oldbin Coal Company		
cpb-aacip-507-4t6f18t178-transcript.ann	T20	organization	2087	2139	Local 1124 of District 12 of the United Mine Workers		
cpb-aacip-507-4t6f18t178-transcript.ann	T21	person	2192	2201	Mr. Jones		
cpb-aacip-507-4t6f18t178-transcript.ann	T22	person	2259	2268	Mr. Jones		
cpb-aacip-507-4t6f18t178-transcript.ann	T23	person	2289	2292	Jim	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-4t6f18t178-transcript.ann	T24	location	1993	1999	Sesser	https://en.wikipedia.org/wiki/Sesser,_Illinois	https://www.wikidata.org/wiki/Q578656
cpb-aacip-507-4t6f18t178-transcript.ann	T25	person	2461	2472	JERRY JONES		
cpb-aacip-507-4t6f18t178-transcript.ann	T26	person	2480	2485	Robin	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T27	person	2786	2802	President Miller	https://en.wikipedia.org/wiki/Arnold_Miller	https://www.wikidata.org/wiki/Q4795176
cpb-aacip-507-4t6f18t178-transcript.ann	T28	person	3013	3020	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T29	person	3138	3143	JONES		
cpb-aacip-507-4t6f18t178-transcript.ann	T19	location	2022	2030	Illinois	https://en.wikipedia.org/wiki/Illinois	https://www.wikidata.org/wiki/Q1204
cpb-aacip-507-4t6f18t178-transcript.ann	T30	person	4031	4038	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T31	person	4150	4155	JONES		
cpb-aacip-507-4t6f18t178-transcript.ann	T32	person	4433	4440	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T33	person	4467	4472	JONES		
cpb-aacip-507-4t6f18t178-transcript.ann	T34	person	4480	4487	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T35	person	4533	4538	JONES		
cpb-aacip-507-4t6f18t178-transcript.ann	T36	person	4545	4552	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-4t6f18t178-transcript.ann	T37	person	4618	4631	Arnold Miller	https://en.wikipedia.org/wiki/Arnold_Miller	https://www.wikidata.org/wiki/Q4795176
