guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-r785h7cp0z-transcript.ann	T1	organization	4797	4801	AT&T	https://en.wikipedia.org/wiki/AT%26T	https://www.wikidata.org/wiki/Q35476
cpb-aacip-507-r785h7cp0z-transcript.ann	T2	organization	4773	4779	Senate	https://en.wikipedia.org/wiki/United_States_Senate	https://www.wikidata.org/wiki/Q66096
cpb-aacip-507-r785h7cp0z-transcript.ann	T3	organization	4719	4741	Department of Commerce	https://en.wikipedia.org/wiki/United_States_Department_of_Commerce	https://www.wikidata.org/wiki/Q503577
cpb-aacip-507-r785h7cp0z-transcript.ann	T4	organization	4692	4713	Department of Justice	https://en.wikipedia.org/wiki/United_States_Department_of_Justice	https://www.wikidata.org/wiki/Q1553390
cpb-aacip-507-r785h7cp0z-transcript.ann	T5	organization	4662	4686	House of Representatives	https://en.wikipedia.org/wiki/United_States_House_of_Representatives	https://www.wikidata.org/wiki/Q11701
cpb-aacip-507-r785h7cp0z-transcript.ann	T6	organization	4641	4644	FCC	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T7	organization	4632	4635	MCI	https://en.wikipedia.org/wiki/MCI_Communications	https://www.wikidata.org/wiki/Q17089784
cpb-aacip-507-r785h7cp0z-transcript.ann	T8	person	4615	4630	WILLIAM McGOWAN	https://en.wikipedia.org/wiki/William_G._McGowan	https://www.wikidata.org/wiki/Q8009555
cpb-aacip-507-r785h7cp0z-transcript.ann	T9	organization	4608	4611	MCI	https://en.wikipedia.org/wiki/MCI_Communications	https://www.wikidata.org/wiki/Q17089784
cpb-aacip-507-r785h7cp0z-transcript.ann	T10	organization	4582	4586	AT&T	https://en.wikipedia.org/wiki/AT%26T	https://www.wikidata.org/wiki/Q35476
cpb-aacip-507-r785h7cp0z-transcript.ann	T11	organization	4558	4561	FCC	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T12	organization	4338	4343	House	https://en.wikipedia.org/wiki/United_States_House_of_Representatives	https://www.wikidata.org/wiki/Q11701
cpb-aacip-507-r785h7cp0z-transcript.ann	T13	person	4263	4288	Congressman Timothy Wirth	https://en.wikipedia.org/wiki/Tim_Wirth	https://www.wikidata.org/wiki/Q1027431
cpb-aacip-507-r785h7cp0z-transcript.ann	T14	location	4254	4262	Colorado	https://en.wikipedia.org/wiki/Colorado	https://www.wikidata.org/wiki/Q1261
cpb-aacip-507-r785h7cp0z-transcript.ann	T15	organization	4132	4136	AT&T	https://en.wikipedia.org/wiki/AT%26T	https://www.wikidata.org/wiki/Q35476
cpb-aacip-507-r785h7cp0z-transcript.ann	T16	organization	4118	4121	FCC	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T17	organization	4095	4103	Congress	https://en.wikipedia.org/wiki/United_States_Congress	https://www.wikidata.org/wiki/Q11268
cpb-aacip-507-r785h7cp0z-transcript.ann	T18	organization	4046	4050	AT&T	https://en.wikipedia.org/wiki/AT%26T	https://www.wikidata.org/wiki/Q35476
cpb-aacip-507-r785h7cp0z-transcript.ann	T19	person	4027	4035	WOODRUFF	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
cpb-aacip-507-r785h7cp0z-transcript.ann	T20	organization	3851	3859	Congress	https://en.wikipedia.org/wiki/United_States_Congress	https://www.wikidata.org/wiki/Q11268
cpb-aacip-507-r785h7cp0z-transcript.ann	T21	organization	3654	3687	Federal Communications Commission	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T22	organization	3407	3412	House	https://en.wikipedia.org/wiki/United_States_House_of_Representatives	https://www.wikidata.org/wiki/Q11701
cpb-aacip-507-r785h7cp0z-transcript.ann	T23	location	3349	3355	Kansas	https://en.wikipedia.org/wiki/Kansas	https://www.wikidata.org/wiki/Q1558
cpb-aacip-507-r785h7cp0z-transcript.ann	T24	person	3327	3343	Sen. ROBERT DOLE	https://en.wikipedia.org/wiki/Bob_Dole	https://www.wikidata.org/wiki/Q319079
cpb-aacip-507-r785h7cp0z-transcript.ann	T25	person	3516	3524	Packwood	https://en.wikipedia.org/wiki/Bob_Packwood	https://www.wikidata.org/wiki/Q888183
cpb-aacip-507-r785h7cp0z-transcript.ann	T26	organization	3315	3318	FCC	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T27	person	3275	3294	Senator Robert Dole	https://en.wikipedia.org/wiki/Bob_Dole	https://www.wikidata.org/wiki/Q319079
cpb-aacip-507-r785h7cp0z-transcript.ann	T28	organization	3225	3233	Congress	https://en.wikipedia.org/wiki/United_States_Congress	https://www.wikidata.org/wiki/Q11268
cpb-aacip-507-r785h7cp0z-transcript.ann	T29	organization	3159	3167	Congress	https://en.wikipedia.org/wiki/United_States_Congress	https://www.wikidata.org/wiki/Q11268
cpb-aacip-507-r785h7cp0z-transcript.ann	T30	organization	3120	3123	FCC	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T31	organization	2945	2948	FCC	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T32	organization	2750	2754	AT&T	https://en.wikipedia.org/wiki/AT%26T	https://www.wikidata.org/wiki/Q35476
cpb-aacip-507-r785h7cp0z-transcript.ann	T33	organization	2626	2629	FCC	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T34	organization	2465	2498	Federal Communications Commission	https://en.wikipedia.org/wiki/Federal_Communications_Commission	https://www.wikidata.org/wiki/Q128831
cpb-aacip-507-r785h7cp0z-transcript.ann	T35	person	2451	2459	WOODRUFF	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
cpb-aacip-507-r785h7cp0z-transcript.ann	T37	person	2407	2411	Judy	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
cpb-aacip-507-r785h7cp0z-transcript.ann	T38	title	2395	2403	Red Star	https://en.wikipedia.org/wiki/Krasnaya_Zvezda	https://www.wikidata.org/wiki/Q739387
cpb-aacip-507-r785h7cp0z-transcript.ann	T39	organization	2373	2379	Soviet	https://en.wikipedia.org/wiki/Soviet_Union	https://www.wikidata.org/wiki/Q15180
cpb-aacip-507-r785h7cp0z-transcript.ann	T40	organization	2324	2328	NATO	https://en.wikipedia.org/wiki/NATO	https://www.wikidata.org/wiki/Q7184
cpb-aacip-507-r785h7cp0z-transcript.ann	T41	location	2294	2308	Czechoslovakia	https://en.wikipedia.org/wiki/Czechoslovakia	https://www.wikidata.org/wiki/Q33946
cpb-aacip-507-r785h7cp0z-transcript.ann	T42	location	2277	2289	East Germany	https://en.wikipedia.org/wiki/East_Germany	https://www.wikidata.org/wiki/Q16957
cpb-aacip-507-r785h7cp0z-transcript.ann	T43	organization	2219	2226	Soviets	https://en.wikipedia.org/wiki/Soviet_Union	https://www.wikidata.org/wiki/Q15180
cpb-aacip-507-r785h7cp0z-transcript.ann	T44	organization	2131	2142	Warsaw Pact	https://en.wikipedia.org/wiki/Warsaw_Pact	https://www.wikidata.org/wiki/Q41644
