guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-vd6nz81n6r-transcript.ann	T1	person	2	10	MR. MUDD	https://en.wikipedia.org/wiki/Roger_Mudd	https://www.wikidata.org/wiki/Q7358696
cpb-aacip-507-vd6nz81n6r-transcript.ann	T2	person	30	40	Roger Mudd	https://en.wikipedia.org/wiki/Roger_Mudd	https://www.wikidata.org/wiki/Q7358696
cpb-aacip-507-vd6nz81n6r-transcript.ann	T3	location	44	52	New York	https://en.wikipedia.org/wiki/New_York_City	https://www.wikidata.org/wiki/Q60
cpb-aacip-507-vd6nz81n6r-transcript.ann	T4	person	56	66	MS. WARNER	https://en.wikipedia.org/wiki/Margaret_Warner	https://www.wikidata.org/wiki/Q6760001
cpb-aacip-507-vd6nz81n6r-transcript.ann	T5	person	76	91	Margaret Warner	https://en.wikipedia.org/wiki/Margaret_Warner	https://www.wikidata.org/wiki/Q6760001
cpb-aacip-507-vd6nz81n6r-transcript.ann	T6	location	95	105	Washington	https://en.wikipedia.org/wiki/Washington,_D.C.	https://www.wikidata.org/wiki/Q61
cpb-aacip-507-vd6nz81n6r-transcript.ann	T7	title	117	129	News Summary		
cpb-aacip-507-vd6nz81n6r-transcript.ann	T8	location	166	172	Moscow	https://en.wikipedia.org/wiki/Moscow	https://www.wikidata.org/wiki/Q649
cpb-aacip-507-vd6nz81n6r-transcript.ann	T9	person	182	199	President Clinton	https://en.wikipedia.org/wiki/Bill_Clinton	https://www.wikidata.org/wiki/Q1124
cpb-aacip-507-vd6nz81n6r-transcript.ann	T10	person	260	282	Charlayne Hunter-Gault	https://en.wikipedia.org/wiki/Charlayne_Hunter-Gault	https://www.wikidata.org/wiki/Q5074602
cpb-aacip-507-vd6nz81n6r-transcript.ann	T11	person	312	327	Michael O'Neill		
cpb-aacip-507-vd6nz81n6r-transcript.ann	T12	title	329	341	NEWS SUMMARY		
cpb-aacip-507-vd6nz81n6r-transcript.ann	T13	person	344	352	MR. MUDD	https://en.wikipedia.org/wiki/Roger_Mudd	https://www.wikidata.org/wiki/Q7358696
cpb-aacip-507-vd6nz81n6r-transcript.ann	T14	organization	406	412	Amtrak	https://en.wikipedia.org/wiki/Amtrak	https://www.wikidata.org/wiki/Q23239
cpb-aacip-507-vd6nz81n6r-transcript.ann	T15	location	474	491	Saraland, Alabama	https://en.wikipedia.org/wiki/Saraland,_Alabama	https://www.wikidata.org/wiki/Q79259
cpb-aacip-507-vd6nz81n6r-transcript.ann	T16	location	507	513	Mobile	https://en.wikipedia.org/wiki/Mobile,_Alabama	https://www.wikidata.org/wiki/Q79875
cpb-aacip-507-vd6nz81n6r-transcript.ann	T17	location	827	838	Los Angeles	https://en.wikipedia.org/wiki/Los_Angeles	https://www.wikidata.org/wiki/Q65
cpb-aacip-507-vd6nz81n6r-transcript.ann	T18	location	842	847	Miami	https://en.wikipedia.org/wiki/Miami	https://www.wikidata.org/wiki/Q8652
