guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-zk55d8pd1h-transcript.ann	T1	person	2	13	MR. MacNeil	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zk55d8pd1h-transcript.ann	T2	location	62	71	Nicaragua	https://en.wikipedia.org/wiki/Nicaragua	https://www.wikidata.org/wiki/Q811
cpb-aacip-507-zk55d8pd1h-transcript.ann	T3	organization	161	178	The Supreme Court	https://en.wikipedia.org/wiki/Supreme_Court_of_the_United_States	https://www.wikidata.org/wiki/Q11201
cpb-aacip-507-zk55d8pd1h-transcript.ann	T4	title	310	322	News Summary		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T5	person	336	339	Jim	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zk55d8pd1h-transcript.ann	T6	person	343	353	MR. LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zk55d8pd1h-transcript.ann	T7	title	365	377	News Summary		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T8	person	379	391	Kwame Holman	https://en.wikipedia.org/wiki/Kwame_Holman	https://www.wikidata.org/wiki/Q50410244
cpb-aacip-507-zk55d8pd1h-transcript.ann	T9	title	393	403	News Maker		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T10	location	442	451	Nicaragua	https://en.wikipedia.org/wiki/Nicaragua	https://www.wikidata.org/wiki/Q811
cpb-aacip-507-zk55d8pd1h-transcript.ann	T11	person	453	466	Daniel Ortega	https://en.wikipedia.org/wiki/Daniel_Ortega	https://www.wikidata.org/wiki/Q57402
cpb-aacip-507-zk55d8pd1h-transcript.ann	T12	title	513	545	[FOCUS - EXXON - FACING CHARGES]		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T13	organization	575	580	Exxon	https://en.wikipedia.org/wiki/ExxonMobil	https://www.wikidata.org/wiki/Q156238
cpb-aacip-507-zk55d8pd1h-transcript.ann	T14	person	607	619	Robert Adler		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T15	person	624	636	Richard Samp		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T16	title	657	686	[FOCUS - NEGLIGENT TREATMENT]		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T17	person	745	793	New York State Health Commissioner David Axelrod	https://en.wikipedia.org/wiki/David_Axelrod_(physician)	https://www.wikidata.org/wiki/Q58372528
cpb-aacip-507-zk55d8pd1h-transcript.ann	T18	person	805	824	Dr. Harvey Wachsman		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T19	title	826	838	NEWS SUMMARY		
cpb-aacip-507-zk55d8pd1h-transcript.ann	T20	person	841	852	MR. MacNeil	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zk55d8pd1h-transcript.ann	T21	location	854	863	Nicaragua	https://en.wikipedia.org/wiki/Nicaragua	https://www.wikidata.org/wiki/Q811
cpb-aacip-507-zk55d8pd1h-transcript.ann	T22	location	950	954	U.S.	https://en.wikipedia.org/wiki/United_States	https://www.wikidata.org/wiki/Q30
cpb-aacip-507-zk55d8pd1h-transcript.ann	T23	person	971	994	President Daniel Ortega	https://en.wikipedia.org/wiki/Daniel_Ortega	https://www.wikidata.org/wiki/Q57402
cpb-aacip-507-zk55d8pd1h-transcript.ann	T24	title	1114	1122	Newshour	https://en.wikipedia.org/wiki/PBS_NewsHour	https://www.wikidata.org/wiki/Q7118447
cpb-aacip-507-zk55d8pd1h-transcript.ann	T25	person	1124	1134	Mr. Ortega	https://en.wikipedia.org/wiki/Daniel_Ortega	https://www.wikidata.org/wiki/Q57402
cpb-aacip-507-zk55d8pd1h-transcript.ann	T26	person	1148	1174	Correspondent Kwame Holman	https://en.wikipedia.org/wiki/Kwame_Holman	https://www.wikidata.org/wiki/Q50410244
cpb-aacip-507-zk55d8pd1h-transcript.ann	T27	person	1239	1252	DANIEL ORTEGA	https://en.wikipedia.org/wiki/Daniel_Ortega	https://www.wikidata.org/wiki/Q57402
cpb-aacip-507-zk55d8pd1h-transcript.ann	T28	location	1265	1274	Nicaragua	https://en.wikipedia.org/wiki/Nicaragua	https://www.wikidata.org/wiki/Q811
cpb-aacip-507-zk55d8pd1h-transcript.ann	T29	person	1618	1629	MR. MacNeil	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zk55d8pd1h-transcript.ann	T30	person	1668	1678	Mr. Ortega	https://en.wikipedia.org/wiki/Daniel_Ortega	https://www.wikidata.org/wiki/Q57402
cpb-aacip-507-zk55d8pd1h-transcript.ann	T31	title	1689	1701	News Summary		
