index	timestamp	GUID	entity	type	instances	wiki_url	QID
2691	2022-11-21 20:46:40	cpb-aacip-507-vd6nz81n6r-transcript.ann	MR. MUDD	person	11	https://en.wikipedia.org/wiki/Roger_Mudd	https://www.wikidata.org/wiki/Q7358696
2692	2022-11-21 20:46:44	cpb-aacip-507-vd6nz81n6r-transcript.ann	Roger Mudd	person	1	https://en.wikipedia.org/wiki/Roger_Mudd	https://www.wikidata.org/wiki/Q7358696
2693	2022-11-21 20:46:50	cpb-aacip-507-vd6nz81n6r-transcript.ann	New York	location	2	https://en.wikipedia.org/wiki/New_York_City	https://www.wikidata.org/wiki/Q60
2694	2022-11-21 20:46:52	cpb-aacip-507-vd6nz81n6r-transcript.ann	MS. WARNER	person	21	https://en.wikipedia.org/wiki/Margaret_Warner	https://www.wikidata.org/wiki/Q6760001
2695	2022-11-21 20:46:57	cpb-aacip-507-vd6nz81n6r-transcript.ann	Margaret Warner	person	2	https://en.wikipedia.org/wiki/Margaret_Warner	https://www.wikidata.org/wiki/Q6760001
2696	2022-11-21 20:47:04	cpb-aacip-507-vd6nz81n6r-transcript.ann	Washington	location	2	https://en.wikipedia.org/wiki/Washington,_D.C.	https://www.wikidata.org/wiki/Q61
2697	2022-11-21 20:47:07	cpb-aacip-507-vd6nz81n6r-transcript.ann	News Summary	program_title	2		
2698	2022-11-21 20:47:30	cpb-aacip-507-vd6nz81n6r-transcript.ann	Moscow	location	6	https://en.wikipedia.org/wiki/Moscow	https://www.wikidata.org/wiki/Q649
2699	2022-11-21 20:47:32	cpb-aacip-507-vd6nz81n6r-transcript.ann	President Clinton	person	8	https://en.wikipedia.org/wiki/Bill_Clinton	https://www.wikidata.org/wiki/Q1124
2700	2022-11-21 20:47:34	cpb-aacip-507-vd6nz81n6r-transcript.ann	Charlayne Hunter-Gault	person	2	https://en.wikipedia.org/wiki/Charlayne_Hunter-Gault	https://www.wikidata.org/wiki/Q5074602
2701	2022-11-21 20:49:57	cpb-aacip-507-vd6nz81n6r-transcript.ann	Michael O'Neill	person	3		
2702	2022-11-21 20:49:59	cpb-aacip-507-vd6nz81n6r-transcript.ann	NEWS SUMMARY	program_title	1		
