index	timestamp	GUID	entity	type	instances	wiki_url	QID
2883	2022-11-21 21:28:25	cpb-aacip-507-vm42r3pt6h-transcript.ann	MR. LEHRER	person	11	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
2884	2022-11-21 21:28:27	cpb-aacip-507-vm42r3pt6h-transcript.ann	CIA	organization	6	https://en.wikipedia.org/wiki/Central_Intelligence_Agency	https://www.wikidata.org/wiki/Q37230
2885	2022-11-21 21:28:57	cpb-aacip-507-vm42r3pt6h-transcript.ann	Director Gates	person	2	https://en.wikipedia.org/wiki/Robert_Gates	https://www.wikidata.org/wiki/Q212979
2886	2022-11-21 21:29:00	cpb-aacip-507-vm42r3pt6h-transcript.ann	Soviet Union	organization	8	https://en.wikipedia.org/wiki/Soviet_Union	https://www.wikidata.org/wiki/Q15180
2887	2022-11-21 21:29:19	cpb-aacip-507-vm42r3pt6h-transcript.ann	Soviet President Gorbachev	person	2	https://en.wikipedia.org/wiki/Mikhail_Gorbachev	https://www.wikidata.org/wiki/Q30487
2888	2022-11-21 21:29:33	cpb-aacip-507-vm42r3pt6h-transcript.ann	Mideast	location	2	https://en.wikipedia.org/wiki/Middle_East	https://www.wikidata.org/wiki/Q7204
2889	2022-11-21 21:29:37	cpb-aacip-507-vm42r3pt6h-transcript.ann	Washington	location	5	https://en.wikipedia.org/wiki/Washington,_D.C.	https://www.wikidata.org/wiki/Q61
2890	2022-11-21 21:29:40	cpb-aacip-507-vm42r3pt6h-transcript.ann	News Summary	program_title	2		
2891	2022-11-21 21:29:42	cpb-aacip-507-vm42r3pt6h-transcript.ann	Judy Woodruff	person	2	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
2892	2022-11-21 21:29:49	cpb-aacip-507-vm42r3pt6h-transcript.ann	New York	location	3	https://en.wikipedia.org/wiki/New_York_City	https://www.wikidata.org/wiki/Q60
2893	2022-11-21 21:29:52	cpb-aacip-507-vm42r3pt6h-transcript.ann	Judy	person	3	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
2894	2022-11-21 21:30:44	cpb-aacip-507-vm42r3pt6h-transcript.ann	MS. WOODRUFF	person	39	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
2895	2022-11-21 21:30:47	cpb-aacip-507-vm42r3pt6h-transcript.ann	NewsHour	program_title	6	https://en.wikipedia.org/wiki/PBS_NewsHour	https://www.wikidata.org/wiki/Q7118447
2896	2022-11-21 21:31:24	cpb-aacip-507-vm42r3pt6h-transcript.ann	rape trial of William Kennedy Smith	event	2		
2897	2022-11-21 21:31:26	cpb-aacip-507-vm42r3pt6h-transcript.ann	Kwame Holman	person	2	https://en.wikipedia.org/wiki/Kwame_Holman	https://www.wikidata.org/wiki/Q50410244
2898	2022-11-21 21:31:28	cpb-aacip-507-vm42r3pt6h-transcript.ann	NEWS SUMMARY	program_title	1		
