index	starts	ends	content
1	00:02:52.290	00:02:54.960	Good evening. A man walked into a bank in Brooklyn
2	00:02:54.970	00:02:58.200	yesterday intending to stage a holdup, and he shoved a
3	00:02:58.210	00:03:00.860	note at a woman teller. She shoved it back because
4	00:03:00.870	00:03:03.570	it was so badly written that she couldn't understand it.
5	00:03:03.580	00:03:05.540	By the time he went to rewrite it the alarms
6	00:03:05.550	00:03:07.970	were ringing. So even to hold up a bank a
7	00:03:07.980	00:03:11.110	certain amount of English grammar may be necessary today. To
8	00:03:11.120	00:03:14.160	many the decline of basic proficiency in English has reached
9	00:03:14.170	00:03:17.890	crisis proportions and is most disturbing in college. Here are
10	00:03:17.900	00:03:23.020	some examples from student compositions. One freshman wrote: "College also
11	00:03:23.030	00:03:26.140	brondens your views, helps you kop with things you will
12	00:03:26.150	00:03:30.160	face in the furture." Another student wrote: "In years or
13	00:03:30.170	00:03:34.030	Centrys ago people was dying because their minds were lazy
14	00:03:34.040	00:03:36.170	they believed in a lot of supersticion because they could
15	00:03:36.180	00:03:38.260	not think of any other reason for what was happening
16	00:03:38.270	00:03:42.990	to them." A third year college student discussing apathy asked:
17	00:03:43.000	00:03:46.400	"Could it be an inherent personality trait mutating from some
18	00:03:46.410	00:03:50.250	previous episode which created such a deviated atmosphere, or is
19	00:03:50.260	00:03:52.810	it by nature of the vast numbers of people walking
20	00:03:52.820	00:03:56.770	this earth today and their seemingly insurmountable task of constructive
21	00:03:56.780	00:04:01.960	interaction or interrelation?" Tonight we examine what many authorities are
22	00:04:01.970	00:04:05.290	calling the crisis in college writing skills: The reasons for
23	00:04:05.300	00:04:08.590	it, the remedies, and whether in fact such skills really
24	00:04:08.600	00:04:12.790	matter anymore. Jim? Robin, the evidence that something has gone
25	00:04:12.800	00:04:16.770	wrong with college level writing goes like this. Nationally, verbal
26	00:04:16.780	00:04:20.760	scores in the major, college entrance examination, the Scholastic Aptitude
27	00:04:20.770	00:04:25.600	Test or SAT, has fallen 45 points since 1965, from
28	00:04:25.610	00:04:31.060	478 to 434. At Ohio State University last year, 30%
29	00:04:31.070	00:04:35.220	of the freshmen were rated "unprepared to perform college level
30	00:04:35.230	00:04:39.440	writing tasks." Other colleges and universities all over the country
31	00:04:39.450	00:04:42.880	are saying similar if not worse things about their freshmen.
32	00:04:42.890	00:04:46.820	Many schools have reinstated stricter writing requirements, and enrollment in
33	00:04:46.830	00:04:51.390	remedial writing courses called bonehead English is booming. Students think
34	00:04:51.400	00:04:54.030	it's a problem too. They also have some theories on
35	00:04:54.040	00:04:58.010	why it's happening. There's no doubt that there's been a
36	00:04:58.020	00:05:00.920	decline in skills. I see it all around me. In
37	00:05:00.930	00:05:04.270	high school and in college all the signs are there
38	00:05:04.280	00:05:08.070	that this country is facing a full-scale, educational disaster. And
39	00:05:08.080	00:05:11.610	that isn't an exaggeration. I see around me students who
40	00:05:11.620	00:05:15.350	have gone through the educational process and absolutely are not
41	00:05:15.360	00:05:19.440	capable to function in society. They're functionally illiterate. I think
42	00:05:19.450	00:05:23.400	it's due to a decline in reading skills. There's a
43	00:05:23.410	00:05:30.240	paucity of reading, teaching correctly--of the ability to read
44	00:05:30.250	00:05:35.180	correctly, I should say, among students in early elementary school.
45	00:05:35.190	00:05:37.940	Therefore, by the time they reach college level they can't
46	00:05:37.950	00:05:40.240	read, so they can not write. I don't know. That
47	00:05:40.250	00:05:42.130	may be so. It's just--but it may have to
48	00:05:42.140	00:05:45.180	do with more people going to college too, that, you
49	00:05:45.190	00:05:47.850	know, colleges, you know, may be less selective in who they
50	00:05:47.860	00:05:51.060	choose and in more people going. It's a difficult problem
51	00:05:51.070	00:05:54.370	because I think writing requires a terrific amount of discipline,
