index	starts	ends	content
1	00:00:24.130	00:00:27.050	Good evening. I'm Jim Lehrer. On the NewsHour tonight: The
2	00:00:27.060	00:00:31.120	news of this day; then the president's new budget proposal,
3	00:00:31.130	00:00:35.900	with differing reactions from Senators Judd Gregg and Kent Conrad;
4	00:00:35.910	00:00:39.350	an update report on peace progress between Israel and the
5	00:00:39.360	00:00:43.330	Palestinians; a health unit look at ways to prevent deadly
6	00:00:43.340	00:00:48.030	medical errors; and some thoughts from sports author John Feinstein
7	00:00:48.040	00:02:24.420	about the varied meanings of the Super Bowl. President Bush
8	00:02:24.430	00:02:28.320	sent his 2006 budget to Congress today. It marked the
9	00:02:28.330	00:02:32.470	opening of a major battle over federal priorities. The budget
10	00:02:32.480	00:02:36.560	totaled more than $2.5 trillion, with a record deficit of
11	00:02:36.570	00:02:41.890	$427 billion. Overall, it would boost spending for defense and
12	00:02:41.900	00:02:46.690	homeland security, but cut scores of other programs. The president
13	00:02:46.700	00:02:50.610	said it sets priorities in a fiscally responsible way. House
14	00:02:50.620	00:02:54.240	Democratic leader Nancy Pelosi called it a "hoax" because the
15	00:02:54.250	00:02:58.630	costs of Iraq and Social Security changes were not included.
16	00:02:58.640	00:03:01.140	We'll have our full coverage of the story right after
17	00:03:01.150	00:03:05.490	this News Summary. Israel and the Palestinians announced plans today
18	00:03:05.500	00:03:09.760	for a formal ceasefire, to end four years of violence.
19	00:03:09.770	00:03:14.420	Palestinian President Abbas and Israeli Prime Minister Sharon will formally
20	00:03:14.430	00:03:18.070	declare the truce tomorrow at a summit in Egypt. An
21	00:03:18.080	00:03:21.100	Israeli representative said it's the first step in getting back
22	00:03:21.110	00:03:25.030	on track toward a peace agreement. Declarations in and by
23	00:03:25.040	00:03:28.910	themself are not sufficient but I think this time the
24	00:03:28.920	00:03:32.530	declaration has substance behind it because I think both sides--
25	00:03:32.540	00:03:35.320	the Israelis and the Palestinians--are very serious in an
26	00:03:35.330	00:03:39.670	effort not to lose this opportunity and to move forward.
27	00:03:39.680	00:03:43.550	The Palestinians said the deal also calls for joint committees
28	00:03:43.560	00:03:47.760	to oversee Israeli pullbacks in the West Bank. The announcement
29	00:03:47.770	00:03:51.350	came after U.S. Secretary of State Rice visited the region.
30	00:03:51.360	00:03:55.110	She said President Abbas and Prime Minister Sharon will meet
31	00:03:55.120	00:03:58.440	separately with President Bush in Washington. And she said the
32	00:03:58.450	00:04:02.830	U.S. wants to seize the moment. I'm here in my
33	00:04:02.840	00:04:06.580	first ten or so days as secretary of state to
34	00:04:06.590	00:04:12.100	demonstrate that commitment. Not everything has to involve the United
35	00:04:12.110	00:04:15.480	States, but the United States has to be there when
36	00:04:15.490	00:04:19.810	it is needed. We will be very active. We'll have
37	00:04:19.820	00:04:22.780	more on this story later in the program. At least
38	00:04:22.790	00:04:25.740	28 people died in a series of attacks across Iraq
39	00:04:25.750	00:04:29.780	today. In Baqubah, a car bomb killed at least 15
40	00:04:29.790	00:04:34.470	people outside a police building. In Mosul, a suicide bomber
41	00:04:34.480	00:04:38.990	killed 12 policemen at a hospital compound. Another person died
42	00:04:39.000	00:04:42.630	in a mortar attack in Mosul. And over the weekend,
43	00:04:42.640	00:04:47.890	insurgents killed at least 21 Iraqis and three U.S. soldiers.
44	00:04:47.900	00:04:50.760	A Kurdish coalition moved into second place today, in the
45	00:04:50.770	00:04:54.840	vote count in Iraq. A Shiite alliance, backed by Grand
46	00:04:54.850	00:04:59.160	Ayatollah al-Sistani, remained in first place with well over two
47	00:04:59.170	00:05:02.480	million votes. The Kurdish grouping of two parties had more
48	00:05:02.490	00:05:05.240	than one million votes and a bloc headed by Prime
49	00:05:05.250	00:05:10.390	Minister Allawi was running third. Returns so far have indicated
50	00:05:10.400	00:05:13.920	most Sunni Muslims did not vote. A final tally is
51	00:05:13.930	00:05:19.920	expected Thursday. U.N. Secretary-General Annan today suspended two top officials
52	00:05:19.930	00:05:24.080	involved in the oil-for-food program in Iraq. Last week, an
53	00:05:24.090	00:05:28.030	independent report accused the program's former head of a "grave
54	00:05:28.040	00:05:32.180	conflict of interest" in handling oil deals with Iraq. The
55	00:05:32.190	00:05:36.400	report also said another official, in charge of awarding contracts,
56	00:05:36.410	00:05:39.940	had tainted the process. The two men can appeal the
57	00:05:39.950	00:05:44.890	suspensions. A jury in Massachusetts today convicted a key figure
58	00:05:44.900	00:05:49.110	in the Catholic Church's sex abuse scandal. Defrocked priest Paul
59	00:05:49.120	00:05:52.930	Shanley was found guilty in Cambridge of raping a boy
60	00:05:52.940	00:05:57.350	in the 1980s. He showed no emotion as the verdict
61	00:05:57.360	00:06:00.920	was read. The abuse began when the victim was six
62	00:06:00.930	00:06:05.160	years old. He's now 27. Shanley is now 74. He
63	00:06:05.170	00:06:09.170	faces a possible life sentence. On Wall Street today, the
64	00:06:09.180	00:06:12.340	Dow Jones Industrial Average lost less than one point to
65	00:06:12.350	00:06:17.180	close at 10,715. The NASDAQ fell four points to close
