index	start	end	alignment-start	alignment-end
1	00:02:52.290	00:02:54.960	0	66
2	00:02:54.970	00:02:58.200	67	122
3	00:02:58.210	00:03:00.860	123	173
4	00:03:00.870	00:03:03.570	174	230
5	00:03:03.580	00:03:05.540	231	275
6	00:03:05.550	00:03:07.970	276	317
7	00:03:07.980	00:03:11.110	318	378
8	00:03:11.120	00:03:14.160	379	439
9	00:03:14.170	00:03:17.890	440	502
10	00:03:17.900	00:03:23.020	503	578
11	00:03:23.030	00:03:26.140	579	638
12	00:03:26.150	00:03:30.160	639	705
13	00:03:30.170	00:03:34.030	705	757
14	00:03:34.040	00:03:36.170	758	815
15	00:03:36.180	00:03:38.260	816	868
16	00:03:38.270	00:03:42.990	869	933
17	00:03:43.000	00:03:46.400	935	996
18	00:03:46.410	00:03:50.250	997	1061
19	00:03:50.260	00:03:52.810	1062	1112
20	00:03:52.820	00:03:56.770	1113	1185
21	00:03:56.780	00:04:01.960	1186	1263
22	00:04:01.970	00:04:05.290	1264	1325
23	00:04:05.300	00:04:08.590	1326	1382
24	00:04:08.600	00:04:12.790	1383	1460
25	00:04:12.800	00:04:16.770	1461	1528
26	00:04:16.780	00:04:20.760	1529	1603
27	00:04:20.770	00:04:25.600	1604	1654
28	00:04:25.610	00:04:31.060	1655	1706
29	00:04:31.070	00:04:35.220	1707	1770
30	00:04:35.230	00:04:39.440	1771	1839
31	00:04:39.450	00:04:42.880	1840	1900
32	00:04:42.890	00:04:46.820	1901	1978
33	00:04:46.830	00:04:51.390	1979	2054
34	00:04:51.400	00:04:54.030	2055	2106
35	00:04:54.040	00:04:58.010	2107	2175
36	00:04:58.020	00:05:00.920	2176	2221
37	00:05:00.930	00:05:04.270	2222	2272
38	00:05:04.280	00:05:08.070	2273	2340
39	00:05:08.080	00:05:11.610	2341	2397
40	00:05:11.620	00:05:15.350	2398	2462
41	00:05:15.360	00:05:19.440	2463	2548
42	00:05:19.450	00:05:23.400	2549	2599
43	00:05:23.410	00:05:30.240	2600	2664
44	00:05:30.250	00:05:35.180	2665	2732
45	00:05:35.190	00:05:37.940	2733	2791
46	00:05:37.950	00:05:40.240	2792	2853
47	00:05:40.250	00:05:42.130	2854	2896
48	00:05:42.140	00:05:45.180	2897	2948
49	00:05:45.190	00:05:47.850	2949	3008
50	00:05:47.860	00:05:51.060	3009	3079
51	00:05:51.070	00:05:54.370	3080	3145
52	00:05:54.380	00:05:57.940	3146	3202
53	00:05:57.950	00:06:06.000	3203	3283
54	00:06:06.010	00:06:10.370	3284	3357
55	00:06:10.380	00:06:16.110	3358	3410
56	00:06:16.120	00:06:19.830	3411	3474
57	00:06:19.840	00:06:22.360	3475	3521
58	00:06:22.370	00:06:28.050	3522	3592
59	00:06:28.060	00:06:30.870	3593	3648
60	00:06:30.880	00:06:34.310	3649	3707
61	00:06:34.320	00:06:37.220	3708	3769
62	00:06:37.230	00:06:40.780	3770	3838
63	00:06:40.790	00:06:43.440	3839	3915
64	00:06:43.450	00:06:46.460	3916	3976
65	00:06:46.470	00:06:49.500	3977	4032
66	00:06:49.510	00:06:52.290	4033	4089
67	00:06:52.300	00:06:58.070	4090	4165
68	00:06:58.080	00:07:01.780	4166	4221
69	00:07:01.790	00:07:05.490	4222	4273
70	00:07:05.500	00:07:07.610	4274	4333
71	00:07:07.620	00:07:13.100	4334	4406
72	00:07:13.110	00:07:17.560	4407	4480
73	00:07:17.570	00:07:20.210	4481	4541
