start,end,scene-label,text-transcript
00:02:46.777,00:02:52.527,chyron,ROBERT MacNEIL
00:06:50.777,00:06:57.527,chyron,JIM LEHRER\nWASHINGTON
00:07:31.527,00:07:40.277,chyron,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
00:09:24.527,00:09:28.777,chyron,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
00:10:34.027,00:10:36.527,chyron,Msr. JAMES McHUGH\nU.S. CONF. OF BISHOPS
00:12:12.777,00:12:15.277,chyron,Msr. JAMES McHUGH\nU.S. CONF. OF BISHOPS
00:14:30.527,00:14:38.277,chyron,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
00:16:16.777,00:16:22.027,chyron,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
00:18:33.777,00:18:39.527,chyron,JEFFREY PRESSMAN\nM.I.T.
00:21:17.277,00:21:22.277,chyron,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
00:22:24.277,00:22:28.527,chyron,Msr. JAMES McHUGH\nU.S. CONF OF BISHOPS
00:25:09.277,00:25:12.277,chyron,JIM LEHRER\nWASHINGTON
00:25:17.277,00:25:22.527,chyron,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
00:26:25.027,00:26:29.527,chyron,JEFFREY PRESSMAN\nM.I.T.
