start,end,scene-label,text-transcript
00:05:02.027,00:05:06.277,chyron,Strobe Talbott\nDeputy Secretary of State
00:08:35.777,00:08:42.027,chyron,Sen. John McCain\nRepublican Presidential Candidate
00:09:53.527,00:09:58.277,chyron,Orrin Hatch\n(R) Presidential Candidate
00:10:54.027,00:10:59.527,chyron,Alan Keyes\nRepublican Presidential Candidate
00:11:51.027,00:11:56.027,chyron,Gary Bauer\nRepublican Presidential Candidate
00:13:09.527,00:13:14.527,chyron,Steve Forbes\nRepublican Presidential Candidate
00:14:15.277,00:14:20.527,chyron,Sen. Orrin Hatch\nRepublican Presidential Candidate
00:14:51.027,00:14:55.777,chyron,Sen. John McCain\nRepublican Presidential Candidate
00:15:55.027,00:16:00.277,chyron,Alan Keyes\nRepublican Presidential Candidate
00:17:06.777,00:17:12.277,chyron,Gary Bauer\nRepublican Presidential Candidate
00:18:01.027,00:18:05.277,chyron,Steve Forbes\nRepublican Presidential Candidate
00:19:46.527,00:19:50.527,chyron,Tom Oliphant\nBoston Globe
00:20:35.777,00:20:39.027,chyron,David Brooks\nWeekly Standard
00:21:54.277,00:21:58.527,chyron,Tom Oliphant\nBoston Globe
00:22:54.777,00:22:58.027,chyron,David Brooks\nWeekly Standard
00:32:36.277,00:32:38.527,chyron,"Katie Couric\nCo-Anchor, NBC News ""Today"""
00:32:44.027,00:32:46.277,chyron,"Matt Lauer\nCo-Anchor, NBC News ""Today"""
00:32:56.527,00:33:00.277,chyron,"Steve Friedman\nSenior Executive Producer\nCBS News ""The Early Show"""
00:33:22.027,00:33:25.777,chyron,Richard Hack\nAuthor
00:34:27.777,00:34:31.777,chyron,Terence Smith
00:35:47.777,00:35:52.027,chyron,"Bryant Gumbel\nCo-Anchor, CBS News ""The Early Show"""
00:36:19.527,00:36:23.777,chyron,"Steve Friedman\nSenior Executive Producer\nCBS News ""The Early Show"""
00:37:22.277,00:37:26.777,chyron,"Jack Lescoulie\nCommentator, ""Today"""
00:37:59.777,00:38:04.527,chyron,"Diane Sawyer\nCo-Anchor, ABC News\n""Good Morning America"""
00:38:26.027,00:38:30.027,chyron,"Charles Gibson\nCo-Anchor, ABC News\n""Good Morning America"""
00:40:37.527,00:40:42.027,chyron,"Bryant Gumbel\nCo-Anchor, CBS News ""The Early Show"""
00:41:11.027,00:41:13.777,chyron,"Steve Friedman\nSenior Executive Producer\nCBS News ""The Early Show"""
00:41:23.027,00:41:27.277,chyron,"Katie Couric\nCo-Anchor, NBC News ""Today"""
00:42:08.027,00:42:10.527,chyron,"Matt Lauer\nCo-Anchor, NBC News ""Today"""
00:42:22.277,00:42:26.777,chyron,Richard Hack\nAuthor
00:45:18.527,00:45:22.777,chyron,President Olusegun Obasanjo\nNigeria
00:47:15.777,00:47:21.277,chyron,President Olusegun Obasanjo\nNigeria
00:50:42.027,00:50:46.277,chyron,President Olusegun Obasanjo\nNigeria
00:53:55.027,00:54:00.777,chyron,President Olusegun Obasanjo\nNigeria
