start,end,scene-label,text-transcript
00:05:33.027,00:05:36.777,chyron,"Sen. PETE DOMENICI\nChairman, Budget Committee"
00:07:01.027,00:07:06.527,chyron,Voice Of\nLt. JIM KING\nOklahoma Highway Patrol
00:14:55.027,00:15:02.777,chyron,Sen. RICHARD LUGAR\n(R) Indiana
00:16:40.527,00:16:45.277,chyron,Sen. RICHARD LUGAR\n(R) Indiana
00:20:06.027,00:20:10.777,chyron,JOSEPH SISCO\nFormer Undersec'y of State
00:20:55.027,00:21:00.027,chyron,DONALD RUMSFELD\nFormer Sec'y of Defense
00:22:08.527,00:22:14.527,chyron,Rev. JESSE JACKSON
00:24:29.277,00:24:34.277,chyron,JOSEPH SISCO\nFormer Undersec'y of State
00:25:23.027,00:25:28.027,chyron,DONALD RUMSFELD\nFormer Sec'y of Defense
00:27:46.027,00:27:50.277,chyron,Rev. JESSE JACKSON
00:31:33.277,00:31:39.777,chyron,Sen. RICHARD LUGAR\n(R) Indiana
00:34:16.027,00:34:20.027,chyron,Sen. SLADE GORTON\n(R) Washington
00:34:45.777,00:34:51.777,chyron,Rep. BILL HEFNER\n(D) North Carolina
00:35:13.027,00:35:18.277,chyron,"Sen. PETE DOMENICI\nChairman, Budget Committee"
00:35:41.027,00:35:44.277,chyron,Sen. LAWTON CHILES\n(D) Florida
00:35:54.777,00:35:59.027,chyron,"Rep. WILLIAM GRAY\nChairman, Budget Committee"
00:36:57.777,00:37:03.527,chyron,"Sen. PETE DOMENICI\nChairman, Budget Committee"
00:38:23.027,00:38:29.027,chyron,Sen. WILLIAM ARMSTRONG\n(R) Colorado
00:40:01.027,00:40:05.027,chyron,Rep. WILLIAM GREY\n(D) Pennsylvania
00:41:53.777,00:41:59.027,chyron,Rep. WILLIAM GRAY\n(D) Pennsylvania
00:44:10.527,00:44:16.777,chyron,Sen. WILLIAM ARMSTRONG\n(R) Colorado
00:46:43.755,00:46:48.527,chyron,REP. WLLIAM\nGRAY
00:46:43.755,00:46:48.527,chyron,SEN. WILLIAM\nARMSTRONG
00:49:20.777,00:49:27.777,chyron,Sen. ROBERT PACKWOOD\n(R) OREGON
00:53:19.527,00:53:27.027,chyron,Sen. ROBERT PACKWOOD\n(R) OREGON
