"filename","seen","type-label","subtype-label","modifier","note-3","note-4"
"cpb-aacip-526-nz80k27n0p_03590053_00017017_00017017.jpg",true,"B","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00081890_00081881.jpg",true,"S","D",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00091650_00091658.jpg",true,"S","D",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00095028_00095028.jpg",true,"S","D",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00109009_00109008.jpg",true,"L","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00118519_00118518.jpg",true,"G","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00172506_00172505.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00187020_00187020.jpg",true,"F","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00246013_00246012.jpg",true,"P","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00303504_00303503.jpg",true,"G","",true,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00355522_00355521.jpg",true,"F","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00372005_00372004.jpg",true,"","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00411512_00411511.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00446513_00446512.jpg",true,"P","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00511511_00511511.jpg",true,"","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00544511_00544510.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00554021_00554020.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00588522_00588521.jpg",true,"","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00621522_00621520.jpg",true,"F","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00632032_00632031.jpg",true,"F","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00638005_00638004.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00662529_00662528.jpg",true,"F","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00673006_00673005.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00723023_00723022.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00764264_00764263.jpg",true,"","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00805506_00805504.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00833500_00833499.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00878512_00878510.jpg",true,"","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00921522_00921520.jpg",true,"U","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00928529_00928527.jpg",true,"U","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_00972906_00972905.jpg",true,"","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_01056656_01056655.jpg",true,"L","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_01101001_01100999.jpg",true,"I","",false,"",""
"cpb-aacip-526-nz80k27n0p_03590053_01121522_01121520.jpg",true,"I","",false,"",""
