at,scene-label,scene-subtype-label,transitional
00:00:00.033,B,,False
00:00:09.776,S,D,False
00:00:16.282,S,D,False
00:00:16.516,S,D,False
00:00:30.530,-,,False
00:00:43.410,M,,False
00:00:47.213,M,,False
00:00:49.516,M,,False
00:00:51.017,M,,False
00:00:54.821,M,,False
00:00:58.625,M,,False
00:01:12.505,M,,False
00:01:43.570,-,,False
00:02:43.663,-,,False
00:03:43.756,-,,False
00:04:43.850,-,,False
00:05:43.943,-,,False
00:06:15.007,F,,False
00:07:15.001,F,,False
00:07:52.138,-,,False
00:09:01.374,-,,False
00:09:47.019,I,,False
00:10:04.003,I,,False
00:10:07.273,I,,False
00:10:18.784,I,,False
00:10:55.287,P,,False
00:11:30.389,I,,False
00:11:38.030,I,,False
00:11:39.131,I,,False
00:12:44.029,F,,False
00:13:15.828,-,,False
00:14:16.422,P,,False
00:15:17.016,-,,False
00:16:17.609,P,,False
00:17:18.203,-,,False
00:18:18.831,-,,False
00:19:19.424,-,,False
00:20:20.018,P,,False
00:21:20.612,-,,False
00:22:21.206,-,,False
00:22:53.271,Y,,False
00:22:56.775,Y,,False
00:23:00.278,Y,,False
00:23:03.515,Y,,False
00:23:03.782,Y,,False
00:23:07.285,Y,,False
00:23:10.756,Y,,False
00:23:14.259,Y,,False
00:23:17.763,Y,,False
00:23:50.328,-,,False
00:24:51.957,P,,False
00:25:53.585,-,,False
00:26:55.213,P,,False
00:27:26.011,F,,False
00:28:12.257,F,,False
00:28:53.998,C,,False
00:29:17.021,C,,False
