at,scene-label,scene-subtype-label,transitional
00:00:01.501,B,,False
00:00:07.007,S,G,False
00:00:38.004,T,,False
00:00:50.016,M,,False
00:01:01.528,M,,False
00:01:08.001,I,,False
00:02:05.024,G,,False
00:02:27.514,E,,False
00:03:00.013,I,,False
00:03:38.518,I,,False
00:04:01.007,I,,False
00:04:15.021,I,,False
00:04:44.017,I,,False
00:05:06.506,I,,False
00:05:52.018,I,,False
00:06:17.510,I,,False
00:07:02.522,G,,False
00:07:13.332,N,,False
00:07:26.946,N,,False
00:07:34.520,N,,False
00:07:40.593,N,,False
00:07:54.207,N,,False
00:08:28.007,N,,False
00:08:41.020,N,,False
00:08:54.000,N,,False
00:08:57.003,N,,False
00:09:07.013,N,,False
00:09:35.875,N,,False
00:09:41.013,N,,False
00:09:48.621,N,,False
00:10:01.400,N,,False
00:10:14.146,N,,False
00:10:26.859,G,,False
00:10:29.528,G,,False
00:10:29.528,G,,False
00:10:32.164,G,,False
00:10:38.270,G,,False
00:10:41.841,G,,False
00:10:45.378,G,,False
00:10:48.948,G,,False
00:10:52.485,G,,False
00:10:52.518,G,,False
00:10:56.055,G,,False
00:10:59.625,G,,False
00:11:03.162,G,,False
00:11:06.732,G,,False
00:11:49.008,I,,False
00:12:35.654,P,,False
00:13:59.905,P,,False
00:14:44.016,-,,False
00:15:26.025,P,,False
00:16:11.503,I,,False
00:17:03.522,G,,False
00:17:09.528,Y,,False
00:17:39.525,I,,False
00:18:11.890,-,,False
00:19:16.655,P,,False
00:19:51.023,N,,False
00:19:59.531,M,,False
00:20:05.404,G,,False
00:20:20.152,G,,False
00:20:55.520,G,,False
00:21:05.030,I,,False
00:21:29.021,F,,False
00:22:07.526,I,,False
00:22:57.509,-,,False
00:23:44.022,I,,False
00:24:16.388,T,,False
00:25:17.148,P,,False
00:25:49.447,C,,False
00:25:53.351,C,,False
00:25:57.222,C,,False
00:26:01.126,C,,False
00:26:03.528,C,,False
00:26:05.030,C,,False
00:26:08.900,C,,False
00:26:12.804,C,,False
00:26:16.675,C,,False
00:26:20.579,R,,False
