at,scene-label,scene-subtype-label,transitional
00:00:12.512,S,D,False
00:00:54.788,-,,False
00:01:33.526,F,,False
00:02:15.902,M,,False
00:03:35.648,E,,False
00:04:16.022,F,,False
00:05:09.275,-,,False
00:06:03.529,-,,False
00:06:09.001,F,,False
00:06:31.023,E,,False
00:07:00.520,E,,False
00:07:42.762,-,,False
00:08:21.000,Y,,True
00:08:22.001,Y,,False
00:08:24.003,Y,,False
00:08:55.501,F,,False
00:09:19.525,F,,False
00:09:28.501,F,,False
00:10:06.505,I,,False
00:10:53.519,F,,False
00:11:27.787,-,,False
00:12:03.022,I,,False
00:12:11.530,I,,False
00:12:51.504,F,,False
00:12:57.009,F,,False
00:13:04.016,Y,,False
00:13:46.659,-,,False
00:15:08.908,-,,False
00:15:53.519,I,,False
00:16:29.254,-,,False
00:17:38.757,-,,False
00:18:48.260,-,,False
00:19:57.763,P,,False
00:21:07.266,-,,False
00:22:16.768,-,,False
00:22:53.505,F,,False
00:23:27.005,G,,False
00:24:04.609,-,,False
00:25:18.783,P,,False
00:26:32.958,-,,False
00:27:13.031,Y,,False
00:27:25.510,I,,False
00:27:58.176,-,,False
00:29:01.506,-,,False
00:30:04.836,-,,False
00:30:38.002,F,,False
00:31:17.642,P,,False
00:32:34.886,P,,False
00:33:13.524,Y,,False
00:33:28.006,G,,False
00:34:14.519,Y,,True
00:34:15.520,Y,,False
00:34:17.522,Y,,False
00:35:00.998,I,,False
00:35:36.267,P,,False
00:36:11.502,I,,False
00:36:46.204,P,,False
00:37:47.598,P,,False
00:38:49.026,-,,False
00:39:50.421,-,,False
00:40:51.816,-,,False
00:41:24.515,Y,,False
00:42:10.528,F,,False
00:42:40.024,F,,False
00:43:20.030,-,,False
00:44:02.006,I,,False
00:44:59.763,-,,False
00:45:53.016,I,,False
00:46:16.006,E,,False
00:46:51.008,P,,False
00:47:09.526,P,,False
00:47:52.769,-,,False
00:48:33.010,-,,False
00:48:36.013,-,,False
00:49:08.512,F,,False
00:49:38.642,P,,False
00:50:38.869,P,,False
00:51:10.000,F,,False
00:51:51.508,-,,False
00:52:02.519,-,,False
00:52:51.001,I,,False
00:53:42.018,Y,,True
00:53:43.653,Y,,False
00:53:46.890,Y,,False
00:53:52.529,F,,False
00:54:32.168,P,,False
00:55:39.502,-,,False
00:56:46.836,-,,False
00:57:21.004,F,,False
00:57:49.499,-,,False
00:58:26.002,I,,False
00:59:05.174,-,,False
01:00:16.512,-,,False
01:01:27.850,-,,False
01:02:09.525,I,,False
01:03:07.016,N,,False
