at,scene-label,scene-subtype-label,transitional
00:00:00.500,B,,False
00:00:17.517,S,G,False
00:01:04.030,F,,False
00:01:21.014,-,,False
00:01:58.785,P,,False
00:02:39.025,M,,False
00:03:45.024,P,,False
00:04:45.518,I,,False
00:05:23.990,-,,False
00:06:30.923,-,,False
00:07:37.857,-,,False
00:08:44.757,-,,False
00:09:51.691,-,,False
00:10:58.624,-,,False
00:12:05.558,P,,False
00:12:39.024,M,,False
00:12:55.007,F,,False
00:13:10.022,-,,False
00:13:31.510,F,,False
00:14:05.511,F,,False
00:14:19.024,I,,False
00:15:02.501,F,,False
00:15:51.283,P,,False
00:16:33.525,F,,False
00:17:16.001,-,,False
00:17:53.505,F,,True
00:18:10.522,F,,True
00:18:51.029,F,,False
00:19:41.513,F,,False
00:20:32.164,F,,False
00:20:33.999,F,,False
00:20:48.413,F,,False
00:21:34.026,M,,False
00:22:14.032,-,,False
00:23:24.002,-,,False
00:24:00.005,-,,False
00:24:30.001,I,,False
00:25:07.506,I,,False
00:25:43.341,-,,False
00:26:53.011,-,,False
00:28:02.681,-,,False
00:28:38.016,F,,False
00:28:56.000,I,,False
00:29:26.531,I,,False
00:30:11.009,F,,False
00:30:27.025,-,,False
00:30:40.505,M,,False
00:31:28.519,-,,False
00:32:14.999,I,,False
00:32:56.007,F,,False
00:33:44.889,P,,False
00:34:56.661,P,,False
00:35:35.500,F,,False
00:35:44.008,F,,True
00:36:18.009,F,,False
00:36:57.882,-,,False
00:38:17.628,F,,False
00:38:57.501,M,,False
00:38:58.636,M,,False
00:39:00.871,M,,False
00:39:37.274,P,,False
00:40:18.015,C,,False
00:40:42.339,C,,False
00:40:45.009,C,,False
00:40:45.009,C,,False
00:40:47.678,C,,False
00:40:58.389,C,,False
00:41:02.092,C,,False
00:41:05.830,C,,False
00:41:09.533,C,,False
00:41:13.270,C,,False
00:41:16.974,C,,False
00:41:20.678,C,,False
00:41:24.415,C,,False
00:41:24.515,C,,False
00:41:28.118,C,,False
00:41:31.856,C,,False
00:41:35.559,C,,False
00:41:39.296,C,,False
00:41:43.000,C,,False
00:41:46.704,C,,False
00:41:50.441,R,,False
00:41:54.144,R,,False
00:42:01.018,L,,False
00:42:09.927,G,,False
00:42:13.697,G,,False
00:42:17.468,G,,False
00:42:21.238,G,,False
00:42:24.008,G,,False
00:42:25.009,G,,False
00:42:28.812,G,,False
00:42:32.583,G,,False
00:42:36.353,G,,False
00:42:40.124,G,,False
