at,scene-label,scene-subtype-label,transitional
00:00:02.502,B,,False
00:00:07.007,S,D,False
00:00:49.516,-,,False
00:00:56.022,F,,False
00:01:33.026,G,,False
00:02:28.515,P,,False
00:03:23.503,F,,False
00:04:13.519,F,,False
00:04:43.850,-,,False
00:05:44.510,-,,False
00:06:45.171,-,,False
00:07:16.502,-,,False
00:07:39.525,F,,False
00:07:52.505,F,,False
00:07:57.510,F,,False
00:08:03.516,-,,False
00:08:50.263,-,,False
00:09:30.503,F,,False
00:09:50.523,-,,False
00:10:29.895,-,,False
00:11:33.659,-,,False
00:12:13.999,-,,False
00:13:02.515,E,,False
00:13:23.502,-,,False
00:13:57.002,-,,False
00:14:28.334,-,,False
00:15:28.961,P,,False
00:16:29.621,P,,False
00:17:30.282,-,,False
00:18:30.909,P,,False
00:19:31.570,-,,False
00:20:32.197,-,,False
00:21:03.028,F,,False
00:21:21.013,-,,False
00:21:26.518,-,,False
00:22:02.287,-,,False
00:22:37.022,F,,False
00:23:20.766,-,,False
00:24:04.509,F,,False
00:24:43.515,P,,False
00:25:53.518,P,,False
00:27:03.521,-,,False
00:28:13.525,-,,False
