at,scene-label,scene-subtype-label,transitional
00:00:01.501,S,G,False
00:00:13.013,-,,False
00:00:31.398,M,,False
00:00:33.500,M,,False
00:00:39.139,M,,False
00:00:51.017,L,,False
00:00:57.023,-,,False
00:01:16.509,M,,False
00:01:30.523,L,,False
00:01:49.008,-,,False
00:02:00.386,M,,False
00:02:07.527,M,,False
00:02:08.161,M,,False
00:02:17.003,L,,False
00:02:27.013,-,,False
00:02:39.025,-,,False
00:02:46.533,M,,False
00:02:47.400,M,,False
00:02:55.141,M,,False
00:03:09.522,L,,False
00:03:26.005,-,,False
00:03:33.513,M,,False
00:03:34.380,M,,False
00:03:42.155,M,,False
00:03:50.029,L,,False
00:03:58.504,-,,False
00:04:11.017,-,,False
00:04:19.392,M,,False
00:04:25.531,M,,False
00:04:27.133,M,,False
00:04:36.509,L,,False
00:04:49.522,-,,False
00:04:59.666,-,,False
00:05:08.508,M,,False
00:05:10.910,M,,False
00:05:21.020,L,,False
00:05:40.506,-,,False
00:05:48.881,M,,False
00:05:51.017,M,,False
00:05:56.656,M,,False
00:06:04.030,S,G,False
00:06:24.517,-,,False
00:06:29.522,M,,False
00:06:53.513,S,G,False
00:07:00.019,-,,False
00:07:11.531,-,,False
00:07:20.373,M,,False
00:07:28.147,M,,False
00:07:29.015,M,,False
00:07:34.020,S,G,False
00:08:17.530,M,,False
