at,scene-label,scene-subtype-label,transitional
00:00:02.001,B,,False
00:00:09.376,S,D,False
00:00:18.151,S,D,False
00:00:19.519,S,D,False
00:00:31.264,L,,False
00:00:35.001,L,,False
00:00:43.777,L,,False
00:00:55.522,I,,False
00:01:22.515,F,,True
00:01:30.023,F,,False
00:01:46.005,G,,False
00:02:17.504,I,,False
00:02:27.013,I,,False
00:03:02.115,P,,False
00:04:03.309,-,,False
00:05:04.504,-,,False
00:06:05.732,-,,False
00:07:06.926,P,,False
00:08:08.120,-,,False
00:09:09.315,-,,False
00:10:10.509,-,,False
00:11:11.704,-,,False
00:12:12.898,-,,False
00:13:14.093,-,,False
00:14:15.321,-,,False
00:15:16.515,P,,False
00:16:17.710,-,,False
00:17:18.904,-,,False
00:17:50.002,-,,False
00:18:21.333,-,,False
00:19:21.960,-,,False
00:20:22.588,-,,False
00:21:23.215,-,,False
00:22:23.875,-,,False
00:23:24.503,-,,False
00:24:25.130,-,,False
00:25:25.790,-,,False
00:26:26.418,-,,False
00:27:27.045,-,,False
00:28:27.672,-,,False
00:29:04.008,L,,False
00:29:05.009,L,,False
00:29:19.023,L,,False
