at,scene-label,scene-subtype-label,transitional
00:00:14.514,L,,False
00:00:15.281,L,,False
00:00:24.791,L,,False
00:00:35.001,T,,False
00:01:09.502,-,,False
00:01:43.002,I,,False
00:02:04.023,E,,False
00:02:37.524,-,,False
00:03:12.025,F,,False
00:03:56.536,-,,False
00:04:36.009,G,,False
00:05:43.543,P,,False
00:06:38.531,I,,False
00:07:12.031,P,,False
00:07:45.031,I,,False
00:08:17.530,I,,False
00:08:34.013,F,,False
00:09:01.507,Y,,False
00:09:15.021,I,,False
00:09:32.004,F,,False
00:09:41.013,G,,False
00:10:05.004,F,,False
00:10:46.512,P,,False
00:11:25.518,Y,,False
00:12:13.032,I,,False
00:13:03.783,-,,False
00:13:53.032,G,,False
00:13:55.501,G,,False
00:13:56.035,G,,False
00:13:59.004,G,,True
00:14:03.676,G,,False
00:14:06.011,G,,False
00:14:07.012,G,,False
00:14:10.349,G,,False
00:14:24.029,I,,True
00:14:41.013,Y,,False
00:15:00.032,I,,False
00:15:30.029,I,,False
00:15:38.003,I,,False
00:15:55.521,I,,False
00:16:23.515,F,,False
00:16:28.020,I,,False
00:17:01.520,G,,False
00:17:46.532,I,,False
00:18:26.505,I,,False
00:19:28.000,I,,False
00:20:29.027,I,,False
00:21:31.523,-,,False
00:22:31.516,I,,False
00:23:30.008,I,,False
00:24:08.013,P,,False
00:24:47.018,G,,False
00:25:10.008,I,,False
00:25:21.520,I,,False
00:25:43.008,F,,False
00:26:11.503,I,,False
00:26:20.011,F,,False
00:26:32.023,I,,False
00:26:52.510,-,,False
00:27:25.510,-,,False
00:27:59.511,I,,False
00:28:42.520,I,,False
00:29:03.007,Y,,False
00:29:11.382,Y,,False
00:29:21.526,Y,,False
00:29:22.127,Y,,False
00:29:40.011,I,,False
00:30:21.019,P,,False
00:31:10.501,G,,False
00:31:40.999,I,,False
00:32:46.998,I,,False
00:33:47.025,I,,False
00:34:22.293,-,,False
00:34:58.529,I,,False
00:35:39.504,P,,False
00:36:18.009,I,,False
00:37:16.000,N,,False
00:37:50.001,I,,False
00:38:33.511,P,,False
00:39:17.521,I,,False
00:40:13.277,P,,False
00:41:10.501,G,,False
00:41:36.527,I,,False
00:42:36.520,I,,False
00:43:19.029,P,,False
00:44:04.508,I,,False
00:45:03.000,I,,False
00:46:04.027,I,,False
00:46:49.039,P,,False
00:47:38.021,I,,False
00:48:39.016,I,,False
00:49:16.520,P,,False
00:49:57.027,I,,False
00:50:28.392,P,,False
00:51:31.154,-,,False
00:52:04.020,I,,False
00:52:58.008,G,,False
00:53:24.000,G,,False
00:54:16.686,G,,False
00:54:28.031,G,,False
00:54:39.342,G,,False
00:54:39.509,G,,False
00:55:08.505,I,,False
00:55:42.005,P,,False
00:56:16.506,I,,False
00:56:49.272,P,,False
00:57:51.768,-,,False
00:58:24.767,G,,False
00:58:28.271,G,,False
00:58:31.007,G,,False
00:58:31.774,G,,False
00:58:35.278,R,,False
00:58:38.781,R,,False
