at,scene-label,scene-subtype-label,transitional
00:00:00.000,S,D,False
00:00:04.371,S,D,False
00:00:05.405,S,D,False
00:00:07.540,G,,False
00:00:09.009,G,,False
00:00:10.010,G,,False
00:00:12.012,G,,False
00:00:14.547,G,,False
00:00:17.317,L,,False
00:00:20.020,L,,False
00:00:22.022,L,,False
00:00:24.324,L,,False
00:00:26.559,L,,False
00:00:27.560,L,,False
00:00:28.028,L,,False
00:00:29.162,O,,False
00:00:30.030,O,,False
00:00:31.031,O,,False
00:00:32.565,O,,False
00:00:35.835,O,,False
00:00:42.509,O,,False
00:00:43.510,O,,False
00:00:46.446,O,,False
00:00:48.048,O,,False
00:00:49.149,O,,False
00:01:15.008,-,,False
00:01:19.546,P,,False
00:01:19.946,P,,False
00:01:20.547,P,,False
00:01:43.536,G,,False
00:01:44.037,G,,False
00:01:45.538,G,,False
00:01:46.039,G,,False
00:01:46.539,G,,False
00:01:50.043,G,,False
00:01:50.543,G,,False
00:01:51.044,G,,False
00:01:52.045,G,,False
00:02:21.508,-,,False
00:02:37.524,F,,False
00:02:39.526,-,,False
00:02:52.005,F,,False
00:02:52.539,F,,False
00:02:53.006,F,,False
00:02:53.373,F,,False
00:02:53.540,F,,False
00:02:54.007,F,,False
00:02:54.541,F,,False
00:03:00.013,P,,False
00:03:00.547,P,,False
00:03:04.551,F,,False
00:03:15.562,-,,False
00:03:36.049,F,,False
00:03:37.050,F,,False
00:03:39.285,F,,False
00:03:40.053,F,,True
00:03:42.555,F,,True
00:03:43.056,F,,False
00:03:45.058,F,,False
00:03:47.060,-,,False
00:04:20.560,P,,False
00:04:34.540,-,,False
00:04:35.541,-,,False
00:05:30.229,P,,False
00:05:31.564,-,,False
00:05:32.065,-,,False
00:05:39.539,P,,False
00:05:41.040,P,,False
00:05:43.042,P,,False
00:05:43.543,P,,False
00:06:00.059,P,,True
00:06:22.548,P,,True
00:06:39.899,P,,False
00:07:02.054,-,,False
00:07:02.555,-,,False
00:07:49.569,P,,False
00:07:51.537,P,,False
00:08:09.555,-,,False
00:08:28.040,-,,False
00:08:29.041,-,,False
00:08:36.048,-,,False
00:08:44.056,-,,False
00:08:59.238,F,,False
00:09:08.548,P,,False
00:09:15.555,P,,False
00:09:17.557,P,,False
00:09:18.057,P,,False
00:09:31.537,P,,False
00:09:38.544,F,,False
00:09:39.478,F,,False
00:09:39.545,F,,False
00:09:40.046,F,,False
00:10:03.536,P,,False
00:10:17.216,-,,False
00:10:37.036,P,,False
00:10:48.047,P,,False
00:10:50.049,P,,False
00:10:50.549,P,,False
00:10:58.557,-,,False
00:10:59.558,-,,False
00:11:10.536,P,,False
00:11:14.540,P,,False
00:11:19.745,P,,False
00:11:20.546,P,,False
00:11:21.547,-,,False
00:11:23.049,-,,False
00:11:34.560,-,,False
00:12:17.536,P,,False
00:12:22.274,-,,False
00:12:25.044,-,,False
00:13:02.047,-,,False
00:13:11.056,-,,False
00:13:13.058,-,,False
00:13:13.559,-,,False
00:13:15.060,-,,False
00:13:16.061,-,,False
00:13:24.804,P,,False
00:13:45.057,-,,False
00:13:57.036,-,,False
00:13:58.037,P,,False
00:13:59.038,P,,False
00:14:14.553,P,,False
00:14:17.556,P,,False
00:14:27.333,P,,False
00:14:37.042,P,,False
00:14:47.052,P,,False
00:14:57.563,P,,False
00:15:14.046,-,,False
00:15:15.047,-,,False
00:15:29.862,P,,False
00:16:14.039,P,,False
00:16:32.391,P,,False
00:17:20.539,-,,False
00:17:21.540,-,,False
00:17:22.541,-,,False
00:17:32.551,P,,False
00:17:34.920,P,,False
00:17:43.562,-,,False
00:17:49.034,P,,False
00:17:49.535,P,,False
00:17:50.035,P,,False
00:17:51.036,P,,False
00:17:56.041,F,,False
00:18:30.542,-,,False
00:18:37.449,-,,False
00:18:46.058,P,,False
00:18:46.558,P,,False
00:18:47.559,P,,False
00:18:48.060,P,,False
00:18:51.563,P,,False
00:19:12.050,-,,False
00:19:39.978,P,,False
00:19:48.554,-,,False
00:19:49.054,-,,False
00:20:12.044,F,,False
00:20:12.344,F,,False
00:20:37.536,P,,False
00:20:42.541,P,,False
00:20:45.043,P,,False
00:20:46.044,P,,False
00:20:47.045,P,,False
00:20:49.047,P,,False
00:20:50.048,P,,False
00:20:51.049,P,,False
00:20:52.551,P,,False
00:21:36.061,P,,False
00:21:45.070,-,,False
00:21:56.548,P,,False
00:22:37.055,P,,False
00:22:38.056,P,,False
00:22:39.057,P,,False
00:22:45.063,P,,False
00:23:45.090,P,,False
00:23:55.033,P,,False
00:24:04.543,P,,False
00:24:45.116,P,,False
00:25:22.053,F,,False
00:25:22.554,F,,False
00:25:23.555,F,,False
00:25:45.110,P,,False
00:26:24.549,P,,False
00:26:45.136,P,,False
00:27:08.560,P,,False
00:27:15.700,F,,False
00:27:30.048,P,,False
00:27:50.535,P,,False
00:27:53.905,P,,False
00:27:54.539,P,,False
00:28:17.562,P,,False
00:28:21.533,P,,False
00:28:27.539,-,,False
00:28:29.040,-,,False
00:28:33.545,E,,False
00:28:37.549,P,,False
00:28:52.564,P,,False
00:29:07.078,P,,False
00:29:27.532,-,,False
00:29:43.548,F,,False
00:29:44.048,F,,False
00:29:45.283,F,,False
00:29:46.050,F,,False
00:29:46.551,F,,False
00:29:47.051,F,,True
00:30:00.398,F,,False
00:30:03.034,-,,False
00:30:03.535,-,,False
00:30:04.536,-,,False
00:30:05.537,-,,False
00:30:35.533,P,,False
00:30:39.404,P,,False
00:31:05.063,-,,False
00:31:06.064,-,,False
00:31:06.564,-,,False
00:31:08.533,P,,False
00:31:10.034,P,,False
00:31:14.038,-,,False
00:31:15.039,-,,False
00:31:15.540,-,,False
00:31:16.040,-,,False
00:31:18.543,-,,False
00:31:22.547,-,,False
00:31:24.048,P,,False
00:31:24.549,P,,False
00:31:37.562,-,,False
00:31:54.212,P,,False
00:32:48.032,-,,False
