at,scene-label,scene-subtype-label,transitional
00:00:01.000,B,,False
00:00:05.005,S,G,False
00:00:29.029,-,,False
00:00:41.508,L,,True
00:00:49.516,M,,False
00:01:27.020,F,,False
00:02:07.026,I,,False
00:02:26.513,I,,False
00:03:22.502,F,,False
00:04:20.526,-,,False
00:05:15.014,-,,False
00:06:17.009,F,,False
00:06:33.526,I,,False
00:06:56.516,F,,True
00:06:59.519,I,,False
00:07:05.525,F,,False
00:07:57.510,F,,False
00:08:11.023,F,,True
00:08:41.520,F,,False
00:08:55.001,I,,False
00:09:15.021,F,,False
00:09:51.791,-,,False
00:10:59.291,-,,False
00:12:06.792,F,,False
00:13:14.260,-,,False
00:13:49.528,-,,False
00:14:24.230,-,,False
00:15:32.598,-,,False
00:16:40.966,-,,False
00:17:49.334,-,,False
00:18:28.006,I,,False
00:18:53.499,I,,False
00:19:26.532,-,,False
00:20:00.032,I,,False
00:20:40.005,F,,False
00:21:15.507,F,,False
00:21:25.517,F,,False
00:21:36.028,-,,False
00:21:42.501,F,,False
00:22:10.529,F,,False
00:22:46.031,F,,False
00:22:53.004,-,,False
00:23:04.516,F,,False
00:23:46.892,P,,False
00:25:08.640,P,,False
00:25:50.015,-,,False
00:25:56.521,-,,False
00:26:19.444,C,,False
00:26:23.248,C,,False
00:26:27.085,C,,False
00:26:30.922,C,,False
00:26:33.525,C,,False
00:26:34.759,C,,False
00:26:38.597,C,,False
00:26:42.434,C,,False
00:26:46.271,R,,False
00:26:50.108,R,,False
00:27:13.498,L,,False
