at,scene-label,scene-subtype-label,transitional
00:00:01.501,B,,False
00:00:21.021,S,G,False
00:00:25.525,S,G,False
00:00:35.001,Y,,False
00:00:57.023,M,,False
00:01:02.028,G,,False
00:01:14.507,F,,False
00:01:27.520,L,,False
00:02:24.511,Y,,False
00:03:19.999,Y,,False
00:03:28.007,Y,,False
00:04:02.875,F,,False
00:05:05.638,-,,False
00:05:38.004,F,,False
00:06:24.517,T,,False
00:07:21.007,T,,False
00:08:01.781,P,,False
00:08:40.019,F,,False
00:08:54.500,F,,False
00:09:25.531,F,,False
00:10:03.269,P,,False
00:10:46.579,G,,False
00:10:57.757,G,,False
00:11:01.027,G,,False
00:11:08.934,G,,False
00:11:59.518,I,,False
00:12:21.006,I,,False
00:13:01.514,I,,False
00:13:20.499,I,,False
00:13:58.003,-,,False
00:14:47.519,I,,False
00:15:22.021,-,,False
00:15:59.024,G,,False
00:16:03.028,Y,,False
00:16:20.512,T,,False
00:16:32.024,T,,False
00:16:45.504,T,,False
00:17:13.031,Y,,False
00:17:31.016,G,,False
00:17:48.500,N,,False
00:18:01.513,Y,,False
00:18:33.779,-,,False
00:19:35.274,-,,False
00:20:09.875,Y,,False
00:20:17.649,Y,,False
00:20:19.518,T,,False
00:21:22.514,Y,,False
00:21:55.514,-,,False
00:22:29.514,Y,,False
00:22:44.529,Y,,False
00:23:28.006,Y,,False
00:23:51.530,-,,False
00:24:17.022,F,,False
00:24:49.521,T,,False
00:24:50.755,T,,False
00:24:59.264,T,,False
00:25:36.268,P,,False
00:26:09.000,T,,False
00:26:23.648,L,,False
00:26:31.022,G,,False
00:26:31.890,G,,False
00:26:39.264,C,,False
00:26:41.499,C,,False
00:26:42.767,C,,False
00:26:46.271,C,,False
00:26:52.010,C,,False
00:27:10.028,R,,False
00:27:15.000,L,,False
