at,scene-label,scene-subtype-label,transitional
00:00:06.006,S,G,False
00:00:09.009,S,G,False
00:00:20.020,L,,False
00:00:27.727,-,,False
00:00:30.030,G,,False
00:00:31.097,G,,False
00:00:34.467,G,,False
00:00:37.837,G,,False
00:01:27.020,F,,False
00:01:35.528,G,,False
00:01:43.002,F,,False
00:01:45.505,-,,False
00:02:27.514,F,,False
00:03:22.502,F,,False
00:03:37.016,F,,False
00:04:01.507,-,,False
00:04:24.530,F,,False
00:05:13.012,I,,False
00:05:36.002,F,,False
00:05:54.520,F,,False
00:06:02.028,F,,False
00:06:06.532,F,,False
00:06:17.510,F,,False
00:06:52.512,I,,False
00:07:00.019,I,,False
00:07:12.031,F,,False
00:07:43.529,F,,False
00:08:45.258,F,,False
00:09:37.510,I,,False
00:10:13.512,F,,False
00:10:35.001,F,,False
00:10:58.524,P,,False
00:11:26.018,F,,False
00:11:39.031,F,,False
00:12:10.029,F,,False
00:12:28.013,F,,False
00:13:00.513,E,,False
00:13:24.003,I,,False
00:13:53.499,F,,False
00:14:09.014,F,,False
00:14:31.503,F,,False
00:14:48.020,I,,False
00:14:54.526,I,,False
00:15:38.003,F,,False
00:15:51.517,F,,False
00:16:07.499,F,,False
00:16:23.015,I,,False
00:16:29.521,F,,False
00:16:59.018,F,,False
00:17:08.027,F,,False
00:17:38.524,F,,False
00:18:30.275,-,,False
00:19:32.504,F,,False
00:20:05.504,-,,False
00:20:39.004,F,,False
00:20:59.024,I,,False
00:21:28.520,I,,False
00:22:04.523,F,,False
00:22:10.028,I,,False
00:22:19.504,F,,False
00:23:05.317,P,,False
00:24:10.916,-,,False
00:25:16.515,P,,False
00:26:22.113,-,,False
00:27:27.712,-,,False
00:28:16.027,F,,False
00:28:35.513,F,,False
00:29:15.019,I,,False
00:29:20.525,F,,False
00:29:47.519,F,,False
00:30:30.028,F,,False
00:31:16.274,P,,False
00:32:05.523,F,,False
00:32:47.031,P,,False
00:33:28.506,F,,False
00:33:36.514,I,,False
00:33:42.520,I,,False
00:33:49.527,I,,False
00:34:28.533,P,,False
00:35:08.005,I,,False
00:35:12.510,I,,False
00:35:32.530,F,,False
00:36:14.038,P,,False
00:36:57.014,F,,False
00:37:01.519,F,,False
00:37:50.034,-,,False
00:38:39.517,E,,False
00:38:50.528,E,,False
00:39:41.011,I,,False
00:40:26.524,-,,False
00:41:09.767,P,,False
00:41:57.014,F,,False
00:42:08.025,F,,True
00:42:52.503,F,,False
00:43:15.025,F,,False
00:43:21.498,F,,False
00:43:35.012,F,,False
00:44:16.520,F,,False
00:44:52.156,P,,False
00:46:01.391,-,,False
00:46:36.527,I,,False
00:47:27.511,F,,False
00:47:39.022,I,,False
00:48:12.022,P,,False
00:49:16.019,-,,False
00:49:51.521,I,,False
00:50:13.510,F,,False
00:50:34.998,I,,False
00:51:36.026,I,,False
00:51:58.515,F,,False
00:52:51.001,F,,False
00:52:57.007,F,,True
00:53:28.505,I,,False
00:53:58.001,F,,False
00:54:41.511,F,,False
00:55:26.523,F,,False
00:56:01.024,F,,False
00:56:15.505,-,,False
00:57:04.521,C,,False
00:57:11.528,C,,False
00:57:17.500,C,,False
00:57:23.506,C,,False
00:57:27.010,C,,False
00:57:30.513,C,,False
00:57:34.017,C,,False
00:57:44.861,G,,False
00:57:48.565,G,,False
00:57:52.235,G,,False
00:57:55.004,G,,False
00:57:55.939,G,,False
00:57:59.609,G,,False
00:58:03.313,G,,False
00:58:06.983,G,,False
00:58:10.687,G,,False
