at,scene-label,scene-subtype-label,transitional
00:00:02.502,G,,False
00:00:21.021,-,,False
00:00:52.786,P,,False
00:01:53.279,-,,False
00:02:53.740,O,,False
00:03:26.506,-,,False
00:03:39.018,F,,False
00:04:18.758,-,,False
00:05:37.270,-,,False
00:06:17.510,-,,False
00:06:32.525,-,,False
00:07:20.506,F,,False
00:07:27.513,-,,False
00:08:22.535,-,,False
00:09:16.522,-,,False
00:09:40.012,-,,False
00:10:12.378,-,,False
00:11:16.142,-,,False
00:11:49.508,-,,False
00:12:49.034,-,,False
00:13:48.527,-,,False
00:14:36.041,-,,False
00:15:23.022,-,,False
00:16:08.500,F,,False
00:16:15.007,F,,False
00:16:59.651,-,,False
00:18:22.901,-,,False
00:19:05.010,F,,False
00:19:13.018,F,,False
00:19:37.509,-,,False
00:20:36.001,F,,False
00:21:20.946,-,,False
00:22:33.785,-,,False
00:23:46.625,-,,False
00:24:23.028,-,,False
00:25:01.266,-,,False
00:26:07.766,-,,False
00:27:14.265,P,,False
00:27:56.007,C,,False
00:28:22.500,C,,False
00:28:30.508,C,,False
00:28:31.509,C,,False
00:28:44.022,C,,False
00:28:57.669,C,,False
00:29:01.005,C,,False
00:29:04.008,M,,False
00:29:04.342,M,,False
00:29:07.679,M,,False
00:29:11.015,R,,False
00:29:14.352,R,,False
