at,scene-label,scene-subtype-label,transitional
00:00:12.012,L,,False
00:00:21.021,G,,False
00:01:00.193,P,,False
00:02:15.535,F,,False
00:03:30.843,P,,False
00:04:11.517,E,,False
00:04:39.012,E,,False
00:04:41.514,E,,False
00:05:15.014,P,,False
00:05:52.018,I,,False
00:06:24.183,P,,False
00:07:27.513,E,,False
00:08:30.843,P,,False
00:09:05.011,I,,False
00:09:43.883,P,,False
00:10:54.654,P,,False
00:11:32.525,I,,False
00:12:09.228,-,,False
00:13:22.601,P,,False
00:14:35.975,P,,False
00:15:49.348,P,,False
00:16:26.018,I,,False
00:17:01.787,P,,False
00:18:04.283,P,,False
00:19:06.778,P,,False
00:20:09.241,F,,False
00:20:42.507,E,,False
00:20:46.011,E,,False
00:21:21.280,P,,False
00:21:57.015,I,,False
00:22:32.284,E,,False
00:23:05.016,E,,False
00:23:12.023,I,,False
00:23:18.530,E,,False
00:24:10.015,E,,False
00:24:21.526,F,,False
00:24:32.504,F,,False
00:24:41.012,F,,False
00:25:20.519,F,,False
00:26:01.293,P,,False
00:26:36.528,E,,False
00:26:48.006,E,,False
00:27:15.500,E,,False
00:27:22.007,F,,False
00:27:53.505,E,,False
00:28:10.021,I,,False
00:28:38.016,E,,False
00:29:33.004,E,,False
00:29:54.526,E,,False
00:30:03.001,E,,False
00:30:49.013,I,,False
00:31:22.881,P,,False
00:32:25.643,P,,False
00:33:28.406,P,,False
00:34:31.135,P,,False
00:35:33.898,P,,False
00:36:36.627,F,,False
00:37:39.390,P,,False
00:38:42.153,P,,False
00:39:44.882,P,,False
00:40:47.645,P,,False
00:41:50.374,P,,False
00:42:53.137,P,,False
00:43:55.866,P,,False
00:44:58.629,-,,False
00:46:01.391,P,,False
00:47:04.121,P,,False
00:48:06.884,P,,False
00:49:09.613,E,,False
00:49:42.512,I,,False
00:50:15.579,P,,False
00:51:18.708,P,,False
00:52:21.805,F,,False
00:53:24.935,P,,False
00:53:58.001,I,,False
00:54:43.013,P,,False
00:55:31.027,I,,False
00:56:23.747,P,,False
00:57:20.003,T,,False
00:57:56.639,C,,False
00:57:59.876,C,,False
00:58:03.012,C,,True
00:58:03.146,C,,True
00:58:06.382,C,,True
00:58:09.652,C,,True
00:58:12.889,C,,True
00:58:36.012,G,,False
00:58:41.518,-,,False
00:58:43.520,L,,True
