at,scene-label,scene-subtype-label,transitional
00:00:07.507,L,,True
00:00:45.145,-,,False
00:01:54.380,-,,False
00:02:30.016,-,,False
00:03:09.522,-,,False
00:03:45.925,-,,False
00:04:56.763,-,,False
00:06:07.600,-,,False
00:06:44.003,F,,False
00:07:04.023,N,,False
00:07:46.032,-,,False
00:08:26.005,I,,False
00:08:58.404,-,,False
00:10:01.167,-,,False
00:10:35.501,F,,False
00:10:37.003,F,,False
00:10:48.514,F,,False
00:10:54.020,F,,False
00:11:48.007,I,,False
00:12:21.006,I,,False
00:12:59.779,P,,False
00:14:07.279,P,,False
00:15:14.780,-,,False
00:15:52.017,I,,False
00:16:31.790,P,,False
00:17:13.499,I,,False
00:17:45.030,-,,False
00:18:15.527,I,,False
00:19:02.774,-,,False
00:19:49.521,I,,False
00:20:21.787,-,,False
00:20:55.020,I,,False
00:21:29.788,P,,False
00:22:36.288,P,,False
00:23:13.525,I,,False
00:24:02.541,-,,False
00:24:54.526,I,,False
00:25:30.028,-,,False
00:26:06.998,I,,False
00:26:41.499,P,,False
00:27:47.499,-,,False
00:28:20.999,I,,False
00:28:39.517,I,,False
00:29:31.035,-,,False
00:30:23.021,I,,False
00:30:44.008,F,,False
00:30:52.016,F,,False
00:30:58.523,F,,False
00:32:00.518,I,,False
00:32:37.021,-,,False
00:33:15.526,-,,False
00:33:52.497,P,,False
00:34:55.493,P,,False
00:35:58.489,-,,False
00:37:01.519,P,,False
00:38:04.515,-,,False
00:39:07.511,-,,False
00:39:40.010,I,,False
00:40:19.650,P,,False
00:41:33.891,-,,False
00:42:11.529,-,,False
00:42:47.598,-,,False
00:43:57.768,P,,False
00:45:07.938,-,,False
00:45:45.008,I,,False
00:46:29.520,I,,False
00:47:05.022,I,,False
00:47:26.510,I,,False
00:48:02.145,-,,False
00:49:08.378,-,,False
00:49:42.512,I,,False
00:50:25.789,-,,False
00:51:07.998,I,,False
00:52:06.523,P,,False
00:53:03.013,-,,False
00:53:09.519,-,,False
00:53:17.027,-,,False
00:53:35.512,I,,False
00:54:35.505,P,,False
00:55:38.501,I,,False
00:56:20.510,-,,False
00:57:04.521,I,,False
00:57:52.035,-,,False
00:58:38.515,I,,False
00:59:15.618,P,,False
01:00:22.785,-,,False
01:01:29.952,-,,False
01:02:08.024,I,,False
01:02:41.524,P,,False
01:02:46.996,P,,False
01:03:25.001,P,,False
01:03:39.015,-,,False
01:04:34.270,-,,False
01:05:28.524,I,,False
01:05:59.021,F,,False
01:06:33.022,-,,False
01:07:05.021,F,,False
01:07:12.028,F,,False
01:07:18.000,F,,False
01:07:57.640,-,,False
01:09:16.886,-,,False
01:09:58.527,-,,False
01:10:23.519,-,,False
01:11:06.262,F,,False
01:11:49.004,I,,False
01:12:09.525,-,,False
01:12:25.507,I,,False
01:13:26.001,I,,False
01:14:14.249,-,,False
01:15:00.996,I,,False
01:15:35.497,I,,False
01:16:11.800,-,,False
01:17:19.401,-,,False
01:18:27.002,-,,False
01:19:34.603,-,,False
01:20:42.204,-,,False
01:21:17.505,I,,False
01:22:02.517,F,,False
01:22:36.017,-,,False
01:22:38.520,-,,False
01:23:14.522,I,,False
01:23:47.789,-,,False
01:24:54.289,-,,False
01:26:00.788,-,,False
01:26:34.522,I,,False
01:27:15.496,-,,False
01:27:23.404,C,,False
01:27:27.208,C,,False
01:27:29.510,C,,False
01:27:31.012,C,,False
01:27:34.816,C,,False
01:27:38.620,C,,False
01:27:42.023,C,,False
01:27:43.258,C,,False
01:27:45.760,C,,False
01:27:48.496,C,,False
01:27:49.764,C,,False
01:27:52.267,C,,False
01:27:56.337,C,,False
01:27:59.007,C,,False
01:27:59.007,C,,False
01:28:01.676,C,,False
01:28:06.180,C,,False
01:28:08.516,C,,False
01:28:09.517,C,,False
01:28:12.854,C,,False
01:28:17.458,C,,False
01:28:19.994,C,,False
01:28:20.261,C,,False
01:28:23.097,C,,False
01:28:26.501,C,,False
01:28:28.136,C,,False
01:28:31.372,C,,False
01:28:36.911,C,,False
01:28:40.715,C,,False
01:28:43.017,C,,False
01:28:44.519,C,,False
01:28:48.289,R,,False
01:28:52.093,R,,False
01:29:07.508,L,,False
01:29:40.375,-,,False
01:30:44.138,-,,False
