at,scene-label,scene-subtype-label,transitional
00:00:06.506,-,,False
00:00:30.530,M,,True
00:00:32.399,M,,False
00:00:36.136,M,,False
00:00:44.010,I,,False
00:01:05.532,I,,False
00:01:30.523,I,,False
00:02:08.361,P,,False
00:03:17.030,P,,False
00:04:25.665,P,,False
00:05:03.002,I,,False
00:05:45.011,P,,False
00:06:24.016,I,,False
00:07:00.720,P,,False
00:08:03.082,P,,False
00:09:05.444,P,,False
00:10:07.807,P,,False
00:10:44.010,I,,False
00:11:20.312,P,,False
00:12:32.952,P,,False
00:13:45.558,P,,False
00:14:58.197,P,,False
00:15:39.505,I,,False
00:16:02.027,I,,False
00:16:39.064,P,,False
00:17:48.167,P,,False
00:18:57.269,P,,False
00:20:06.371,P,,False
00:21:15.474,P,,False
00:21:55.013,I,,False
00:22:36.521,I,,False
00:23:09.588,P,,False
00:24:12.684,P,,False
00:25:15.780,P,,False
00:26:18.877,P,,False
00:27:21.973,P,,False
00:27:53.505,C,,False
00:27:54.773,C,,False
00:27:57.275,C,,False
00:28:00.011,C,,False
00:28:01.513,C,,False
00:28:04.516,C,,False
00:28:09.521,C,,False
00:28:12.023,C,,False
00:28:12.524,C,,False
00:28:15.527,R,,False
00:28:18.530,R,,False
00:28:25.003,G,,False
00:28:33.011,G,,False
00:28:41.019,G,,False
00:28:41.519,G,,False
00:28:49.027,G,,False
