at,scene-label,scene-subtype-label,transitional
00:00:11.511,L,,False
00:00:49.516,M,,False
00:00:54.521,M,,False
00:01:29.289,P,,False
00:02:32.785,P,,False
00:03:36.282,-,,False
00:04:39.779,-,,False
00:05:43.276,P,,False
00:06:46.773,-,,False
00:07:50.269,-,,False
00:08:53.766,P,,False
00:09:25.531,-,,False
00:09:28.501,-,,False
00:10:03.936,-,,False
00:11:10.770,P,,True
00:12:17.603,-,,False
00:12:54.006,G,,False
00:12:59.011,G,,False
00:13:01.514,G,,False
00:13:34.980,-,,False
00:14:38.878,-,,False
00:15:42.775,-,,False
00:16:46.672,-,,False
00:17:50.569,-,,False
00:18:25.003,-,,False
00:18:40.519,-,,False
00:19:25.531,-,,False
00:20:02.701,-,,False
00:21:13.105,-,,False
00:22:23.508,-,,False
00:23:33.912,-,,False
00:24:44.316,P,,False
00:25:21.019,-,,False
00:25:55.387,-,,False
00:27:04.155,-,,False
00:27:40.458,C,,False
00:27:44.295,C,,False
00:27:48.166,C,,False
00:27:52.037,C,,False
00:27:55.874,C,,False
00:27:59.744,C,,False
00:28:02.514,C,,False
00:28:03.581,C,,False
00:28:07.452,C,,False
00:28:11.289,C,,False
00:28:15.160,C,,False
00:28:19.030,C,,False
00:28:22.867,C,,False
00:28:26.738,C,,False
00:28:30.575,R,,False
00:28:38.783,G,,False
00:28:48.293,L,,False
00:28:51.029,L,,False
