at,scene-label,scene-subtype-label,transitional
00:00:10.510,B,,False
00:00:42.642,S,G,False
00:00:47.013,S,G,False
00:00:47.881,S,G,False
00:00:52.519,G,,False
00:01:12.872,M,,False
00:01:21.014,L,,False
00:01:22.649,L,,False
00:01:31.524,I,,False
00:02:13.032,P,,False
00:02:34.020,F,,False
00:03:03.650,G,,False
00:03:04.517,G,,False
00:03:08.888,G,,False
00:03:40.019,-,,False
00:03:41.521,G,,False
00:03:44.524,G,,False
00:04:19.525,-,,False
00:05:26.526,-,,False
00:06:33.526,P,,False
00:07:40.526,-,,False
00:08:15.528,N,,False
00:08:49.795,P,,False
00:09:22.194,T,,False
00:09:25.531,T,,False
00:09:28.501,T,,False
00:09:28.868,T,,False
00:09:32.171,T,,False
00:09:35.508,T,,False
00:09:38.844,T,,False
00:10:11.844,-,,False
00:11:14.507,-,,False
00:12:17.169,P,,False
00:12:55.007,Y,,False
00:13:28.841,P,,False
00:14:29.468,P,,False
00:15:30.095,-,,False
00:16:30.723,P,,False
00:17:03.522,-,,False
00:17:12.031,G,,False
00:17:13.399,G,,False
00:17:16.135,G,,False
00:17:37.523,G,,False
00:17:56.008,G,,False
00:18:01.013,-,,False
00:18:09.521,G,,False
00:18:41.520,E,,False
00:19:44.516,P,,False
00:20:47.512,F,,False
00:21:20.512,E,,False
00:22:07.025,E,,False
00:22:57.275,P,,False
00:23:47.859,T,,False
00:23:50.529,T,,False
00:23:50.529,T,,False
00:23:53.165,T,,False
00:23:58.003,T,,False
00:24:39.878,P,,False
00:25:58.657,F,,False
00:26:40.031,I,,False
00:27:39.524,P,,False
00:28:40.518,I,,False
00:29:21.025,G,,False
00:29:30.001,I,,False
00:29:55.026,I,,False
00:30:24.522,F,,False
00:30:28.026,T,,False
00:30:29.661,T,,False
00:30:32.897,T,,False
00:30:38.002,-,,False
00:30:50.515,I,,False
00:30:56.521,I,,False
00:31:01.526,I,,False
00:31:25.016,I,,False
00:32:06.257,P,,False
00:32:46.998,F,,False
00:33:23.501,P,,False
00:33:58.002,T,,False
00:34:03.508,F,,False
00:34:07.512,I,,False
00:34:51.522,-,,False
00:35:34.999,I,,False
00:36:16.007,P,,False
00:37:35.019,P,,False
00:38:15.026,G,,False
00:38:27.004,-,,False
00:38:37.014,G,,False
00:38:51.529,I,,False
00:39:33.637,F,,True
00:40:51.882,P,,False
00:41:32.690,G,,True
00:41:35.025,G,,False
00:41:36.026,G,,False
00:41:39.330,G,,False
00:42:35.019,F,,False
00:43:23.500,G,,True
00:43:54.999,I,,False
00:44:09.513,I,,False
00:44:41.512,I,,False
00:44:48.519,E,,False
00:44:57.528,I,,False
00:45:18.515,G,,False
00:45:42.005,E,,False
00:46:33.524,F,,False
00:47:18.502,F,,False
00:47:27.511,F,,False
00:47:38.522,G,,False
00:47:48.498,F,,False
00:47:58.508,I,,False
00:48:32.009,I,,False
00:48:41.518,I,,False
00:48:49.526,I,,False
00:49:24.494,-,,False
00:50:28.392,-,,False
00:51:32.289,P,,False
00:52:36.186,P,,False
00:53:40.083,P,,False
00:54:12.515,P,,False
00:54:53.023,P,,False
00:55:44.407,C,,False
00:55:48.178,C,,False
00:55:51.948,C,,False
00:55:55.752,C,,False
00:55:59.522,C,,False
00:56:03.293,C,,False
00:56:07.097,C,,False
00:56:10.500,C,,False
00:56:10.867,C,,False
00:56:14.637,C,,False
00:56:18.408,C,,False
00:56:22.212,C,,False
00:56:25.982,C,,False
00:56:29.753,C,,False
00:56:33.556,C,,False
00:56:37.327,C,,False
00:56:41.097,R,,False
