at,scene-label,scene-subtype-label,transitional
00:00:04.492,B,,False
00:01:03.518,B,,False
00:01:11.492,-,,False
00:01:29.010,-,,False
00:01:30.278,-,,False
00:01:32.780,M,,False
00:01:37.518,M,,False
00:02:11.519,T,,False
00:03:15.516,-,,False
00:04:19.514,-,,False
00:04:52.513,T,,False
00:05:25.847,-,,False
00:06:27.475,-,,False
00:07:29.103,-,,False
00:08:30.698,-,,False
00:09:32.326,-,,False
00:10:33.954,-,,False
00:11:35.583,-,,False
00:12:37.211,T,,False
00:13:09.009,-,,False
00:13:39.640,-,,False
00:14:39.900,P,,False
00:15:09.997,-,,False
00:15:11.765,-,,False
00:15:15.269,C,,False
00:15:27.014,C,,False
00:15:28.782,-,,False
00:15:32.252,C,,False
00:16:16.997,-,,False
00:17:02.509,-,,False
00:19:03.263,P,,False
00:20:00.987,P,,False
00:20:16.002,-,,False
00:20:40.994,-,,False
00:21:01.515,-,,False
00:21:11.491,F,,False
00:21:36.016,F,,False
00:22:01.508,F,,False
00:22:36.776,E,,False
00:23:11.511,E,,False
00:23:33.500,F,,False
00:24:04.497,-,,False
00:24:41.001,F,,False
00:25:47.000,P,,False
00:26:27.006,F,,False
00:27:04.511,F,,False
00:27:48.521,P,,False
00:29:15.541,-,,False
00:30:01.487,-,,False
00:30:33.519,-,,False
00:31:37.517,-,,False
00:32:41.514,-,,False
00:33:45.511,-,,False
00:34:49.508,P,,False
00:35:53.506,-,,False
00:36:57.503,-,,False
