at,scene-label,scene-subtype-label,transitional
00:00:05.005,B,,False
00:00:12.779,S,G,False
00:00:26.292,S,G,False
00:00:30.530,S,G,False
00:00:37.504,L,,False
00:01:08.501,-,,False
00:02:08.528,-,,False
00:02:43.029,M,,False
00:03:21.534,-,,False
00:04:00.506,I,,False
00:04:40.013,P,,False
00:05:18.518,I,,False
00:06:02.261,-,,False
00:06:46.005,F,,False
00:06:51.010,F,,False
00:07:53.005,I,,False
00:08:06.018,I,,False
00:08:52.532,-,,False
00:09:41.013,I,,False
00:10:06.505,F,,False
00:10:25.524,T,,False
00:11:16.542,-,,False
00:12:44.530,-,,False
00:13:31.510,I,,False
00:14:28.500,F,,False
00:15:01.000,I,,False
00:15:02.501,I,,False
00:15:05.504,E,,False
00:16:08.500,F,,False
00:16:13.005,F,,False
00:16:17.009,I,,False
00:16:55.514,-,,False
00:17:30.516,I,,False
00:18:23.035,-,,False
00:19:12.017,F,,False
00:19:45.150,-,,False
00:20:48.380,-,,False
00:21:51.643,P,,False
00:22:54.873,P,,False
00:23:28.507,I,,False
00:23:49.027,I,,False
00:24:31.903,P,,False
00:25:57.622,P,,False
00:26:42.434,C,,False
00:26:46.237,C,,False
00:26:50.075,C,,False
00:26:53.912,C,,False
00:26:56.514,C,,False
00:26:57.749,C,,False
00:27:01.586,C,,False
00:27:05.423,C,,False
00:27:09.260,C,,False
00:27:13.098,R,,False
