at,scene-label,scene-subtype-label,transitional
00:00:00.000,S,G,False
00:00:00.533,S,G,False
00:00:01.534,S,G,False
00:00:02.035,S,G,False
00:00:02.535,S,G,False
00:00:03.003,S,G,False
00:00:04.037,S,G,False
00:00:05.005,S,G,False
00:00:05.538,S,G,False
00:00:06.539,S,G,False
00:00:09.743,-,,False
00:00:10.543,L,,False
00:00:13.013,F,,False
00:00:14.014,F,,False
00:00:18.018,T,,False
00:00:18.551,T,,False
00:00:20.553,T,,False
00:00:21.021,T,,False
00:00:24.858,O,,False
00:00:25.558,T,,False
00:00:25.959,O,,False
00:00:26.559,T,,False
00:00:28.028,T,,False
00:00:29.562,T,,False
00:00:30.030,T,,False
00:00:31.031,T,,False
00:00:31.564,T,,False
00:00:32.565,T,,False
00:00:35.502,T,,False
00:00:36.036,T,,False
00:00:37.504,T,,False
00:00:38.038,T,,False
00:00:39.039,T,,False
00:00:39.506,T,,False
00:00:40.507,T,,False
00:00:42.142,F,,False
00:00:43.510,F,,False
00:00:44.044,F,,False
00:00:44.511,F,,False
00:00:45.045,F,,False
00:00:45.512,F,,False
00:00:46.046,F,,False
00:00:46.513,F,,False
00:00:47.047,F,,False
00:00:49.049,F,,False
00:01:07.534,P,,False
00:01:10.003,P,,False
00:01:11.538,P,,False
00:01:21.548,N,,False
00:01:22.549,N,,False
00:01:23.016,N,,False
00:01:23.183,N,,False
00:01:23.550,N,,False
00:01:24.017,N,,False
00:01:24.551,N,,False
00:01:26.019,-,,False
00:01:28.555,-,,False
00:01:29.556,-,,False
00:01:31.024,-,,False
00:01:31.558,-,,False
00:01:33.026,-,,False
00:01:41.034,-,,False
00:01:51.544,-,,False
00:01:55.548,-,,False
00:02:04.224,-,,False
00:02:26.045,P,,False
00:02:44.731,I,,False
00:03:19.032,P,,False
00:03:19.032,P,,False
00:03:25.038,P,,False
00:03:29.042,P,,False
00:03:34.547,P,,False
00:03:39.552,F,,False
00:03:40.553,-,,False
00:03:52.065,N,,False
00:03:52.232,N,,False
00:03:53.533,N,,False
00:03:55.034,P,,False
00:03:56.035,P,,False
00:04:10.049,F,,False
00:04:22.562,T,,False
00:04:23.062,T,,False
00:04:23.563,T,,False
00:04:29.202,-,,False
00:04:34.007,Y,,False
00:04:34.540,Y,,False
00:04:35.008,Y,,False
00:04:35.541,Y,,False
00:04:36.009,Y,,False
00:04:36.542,Y,,False
00:04:37.010,Y,,False
00:04:41.014,-,,False
00:04:44.017,P,,False
00:05:03.036,I,,False
00:05:03.536,I,,False
00:05:05.038,I,,False
00:05:07.040,P,,False
