at,scene-label,scene-subtype-label,transitional
00:00:17.017,S,H,False
00:00:23.523,G,,True
00:00:44.344,M,,False
00:00:56.022,E,,False
00:01:07.667,E,,False
00:01:12.505,E,,False
00:02:02.021,E,,False
00:02:33.019,F,,False
00:02:57.577,F,,False
00:03:08.755,F,,False
00:03:13.026,F,,False
00:03:19.933,E,,False
00:03:30.510,F,,False
00:03:36.516,F,,False
00:03:41.521,F,,False
00:03:44.524,E,,False
00:04:22.795,-,,False
00:05:01.768,E,,False
00:05:10.510,E,,False
00:05:11.277,E,,False
00:05:55.021,G,,False
00:06:04.530,G,,False
00:06:24.450,E,,False
00:06:36.329,E,,False
00:06:48.207,E,,False
00:06:56.015,E,,False
00:07:00.086,E,,False
00:07:31.017,-,,False
00:08:27.006,E,,False
00:08:53.266,E,,False
00:08:58.504,E,,False
00:09:06.779,E,,False
00:09:20.259,E,,False
00:09:33.773,E,,False
00:10:38.004,F,,False
00:11:13.506,E,,False
00:11:39.532,E,,False
00:11:47.006,E,,False
00:11:48.507,E,,False
00:12:12.531,E,,False
00:12:39.024,E,,False
00:13:41.020,E,,False
00:14:15.287,-,,False
00:14:50.522,E,,False
00:14:53.525,E,,False
00:14:56.528,E,,False
00:15:32.398,P,,False
00:16:36.161,P,,False
00:17:10.029,E,,False
00:17:27.012,F,,False
00:17:41.026,F,,False
00:18:18.530,-,,False
00:18:56.001,E,,False
00:19:32.938,P,,False
00:20:38.837,P,,False
00:21:44.736,P,,False
00:22:50.635,P,,False
00:23:56.501,-,,False
00:25:02.400,-,,False
00:26:08.300,P,,False
00:27:14.199,P,,False
00:28:20.065,P,,False
00:28:54.599,C,,False
00:28:57.001,C,,False
00:28:57.702,C,,False
00:29:00.839,C,,False
00:29:03.942,C,,False
00:29:16.888,C,,False
00:29:23.528,L,,False
00:29:25.630,L,,False
