at,scene-label,scene-subtype-label,transitional
00:00:00.000,-,,False
00:00:02.002,B,,True
00:00:04.004,B,,False
00:00:06.006,B,,False
00:00:08.008,B,,False
00:00:10.010,B,,False
00:00:12.012,B,,False
00:00:14.014,B,,False
00:00:16.016,B,,False
00:00:18.018,B,,False
00:00:20.020,-,,False
00:00:22.022,-,,False
00:00:24.024,-,,False
00:00:26.026,-,,False
00:00:28.028,-,,False
00:00:30.030,-,,False
00:00:32.032,-,,False
00:00:34.000,-,,False
00:00:36.002,-,,False
00:00:38.004,-,,False
00:00:40.006,-,,False
00:01:10.003,S,D,False
00:01:12.005,S,D,False
00:01:14.007,S,D,False
00:01:16.009,S,D,False
00:01:18.011,S,D,False
00:01:20.013,S,D,False
00:01:22.015,S,D,True
00:01:24.017,L,,True
00:01:26.019,L,,False
00:01:28.021,-,,False
00:01:30.023,-,,False
00:01:32.025,-,,False
00:01:34.027,-,,False
00:01:36.029,-,,False
00:01:38.031,-,,False
00:01:40.033,-,,False
00:01:42.001,-,,False
00:01:44.003,-,,False
00:01:46.005,-,,False
00:01:48.007,L,,True
00:01:50.009,L,,False
00:01:52.011,L,,False
00:01:54.013,L,,False
00:01:56.015,L,,False
00:01:58.017,-,,False
00:02:00.019,-,,False
00:02:02.021,-,,False
00:02:04.023,-,,False
00:02:06.025,-,,False
00:02:08.027,-,,False
00:02:10.029,-,,False
00:02:12.031,-,,False
00:02:14.000,-,,False
00:02:16.002,-,,False
00:02:18.004,-,,False
00:02:20.006,-,,False
00:02:22.008,-,,False
00:02:28.014,-,,False
00:02:30.016,-,,False
00:02:32.018,M,,False
00:02:34.020,M,,False
00:02:36.022,M,,False
00:02:38.024,-,,False
00:02:40.026,-,,False
00:02:42.028,-,,False
00:02:44.030,-,,False
00:03:12.025,-,,False
00:03:14.027,P,,False
00:03:16.029,P,,False
00:03:18.031,P,,False
00:03:20.033,P,,False
00:03:22.001,P,,False
00:03:42.021,P,,False
00:03:44.023,P,,False
00:03:46.025,P,,False
00:03:48.027,P,,False
00:04:28.001,-,,False
00:04:32.005,-,,False
00:04:38.011,-,,False
00:04:44.017,-,,False
00:04:46.019,Y,,False
00:04:48.021,Y,,False
00:04:50.023,-,,False
00:04:52.025,-,,False
00:04:54.027,-,,False
00:05:54.020,-,,False
00:05:56.022,-,,False
00:05:58.024,-,,False
00:06:00.026,-,,False
00:06:02.028,-,,False
00:06:04.030,M,,False
00:06:06.032,M,,False
00:06:08.000,M,,False
00:06:10.002,M,,True
00:06:12.004,-,,False
00:06:14.006,-,,False
00:06:16.008,-,,False
00:06:18.010,-,,False
00:06:20.012,-,,False
00:06:28.020,-,,False
00:06:30.022,-,,False
00:08:00.012,-,,False
00:08:02.014,-,,False
00:08:04.016,-,,False
00:08:12.024,-,,False
00:08:14.026,-,,False
00:08:16.028,-,,False
00:09:20.026,-,,False
00:09:22.028,-,,False
00:09:30.002,G,,True
00:09:32.004,G,,False
00:09:34.006,G,,False
00:09:36.008,G,,False
00:09:38.010,G,,False
00:09:40.012,G,,False
00:09:42.014,G,,False
00:09:44.016,G,,False
00:09:46.018,G,,False
00:09:48.020,-,,False
00:09:50.022,-,,False
00:09:52.024,-,,False
00:09:56.028,-,,False
00:09:58.030,-,,False
00:14:10.015,-,,False
00:14:12.017,-,,False
00:14:14.019,-,,False
00:14:16.021,-,,False
00:14:18.023,-,,False
00:14:20.025,-,,False
00:14:22.027,-,,False
00:14:24.029,-,,False
00:14:26.031,-,,False
00:14:30.002,-,,False
00:14:32.004,-,,False
00:14:34.006,-,,False
00:14:36.008,-,,False
00:14:40.012,-,,False
00:14:42.014,-,,False
00:18:40.018,-,,False
00:18:42.020,-,,False
00:18:46.024,-,,False
00:20:30.028,-,,False
00:20:32.030,-,,False
00:20:34.032,-,,False
00:20:38.003,-,,False
00:22:40.025,-,,False
00:22:42.027,-,,False
00:22:44.029,-,,False
00:22:48.033,-,,False
00:22:50.001,-,,False
00:22:52.003,-,,False
00:22:54.005,-,,False
00:22:56.007,-,,False
00:22:58.009,-,,False
00:23:20.031,-,,False
00:23:22.000,-,,False
00:23:46.024,-,,False
00:23:48.026,-,,False
00:23:50.028,-,,False
00:23:52.030,-,,False
00:23:54.032,-,,False
00:23:56.001,-,,False
00:23:58.003,-,,False
00:24:00.005,-,,False
00:24:04.009,-,,False
00:24:06.011,-,,False
00:24:08.013,-,,False
00:24:10.015,-,,False
00:24:12.017,-,,False
00:24:14.019,-,,False
00:24:16.021,-,,False
00:24:18.023,-,,False
00:24:20.025,-,,False
00:24:24.029,-,,False
00:24:26.031,-,,False
00:24:28.033,-,,False
00:24:44.015,-,,False
00:24:46.017,-,,False
00:24:48.019,-,,False
00:24:50.021,-,,False
00:24:56.027,-,,False
00:24:58.029,-,,False
00:25:00.031,-,,False
00:25:04.002,-,,False
00:25:08.006,-,,False
00:25:10.008,-,,False
00:25:14.012,-,,False
00:25:16.014,-,,False
00:25:18.016,-,,False
00:25:22.020,-,,False
00:25:24.022,-,,False
00:25:26.024,-,,False
00:25:36.001,-,,False
00:25:38.003,-,,False
00:25:40.005,-,,False
00:25:42.007,-,,False
00:25:44.009,-,,False
00:25:46.011,-,,False
00:25:48.013,-,,False
00:26:02.027,-,,False
00:26:04.029,-,,False
00:26:06.031,-,,False
00:26:08.033,-,,False
00:26:10.001,-,,False
00:26:12.003,-,,False
00:26:14.005,-,,False
00:26:30.021,-,,False
00:26:32.023,-,,False
00:26:34.025,-,,False
00:26:36.027,-,,False
00:26:38.029,-,,False
00:26:42.000,-,,False
00:26:44.002,-,,False
00:26:46.004,-,,False
00:26:48.006,-,,False
00:26:50.008,-,,False
00:26:52.010,-,,False
00:27:06.024,-,,False
00:27:08.026,-,,False
00:27:10.028,-,,False
00:27:12.030,-,,False
00:27:14.032,-,,False
00:27:16.001,-,,False
00:27:18.003,-,,False
00:27:20.005,-,,False
00:27:22.007,-,,False
00:27:24.009,-,,False
00:27:40.025,-,,False
00:27:42.027,-,,False
00:27:44.029,-,,False
00:27:46.031,-,,False
00:28:02.013,-,,False
00:28:04.015,-,,False
00:28:06.017,-,,False
00:28:08.019,-,,False
00:28:10.021,-,,False
00:28:12.023,-,,False
00:28:14.025,-,,False
00:28:16.027,-,,False
00:28:18.029,-,,False
00:28:34.012,-,,False
00:28:36.014,-,,False
00:28:44.022,-,,False
00:28:46.024,-,,False
00:28:48.026,-,,False
00:28:52.030,-,,False
00:28:54.032,-,,False
00:28:56.000,-,,False
00:28:58.002,-,,False
00:29:00.004,-,,False
00:29:02.006,-,,False
00:29:06.010,-,,False
00:29:22.026,-,,False
00:29:24.028,-,,False
00:29:26.030,-,,False
00:29:28.032,-,,False
00:29:30.001,-,,False
00:29:32.003,-,,False
00:29:36.007,-,,False
00:29:38.009,-,,False
00:29:40.011,-,,False
00:29:42.013,-,,False
00:29:44.015,-,,False
00:29:46.017,-,,False
00:29:50.021,-,,False
00:29:52.023,-,,False
00:29:54.025,-,,False
00:29:56.027,-,,False
00:29:58.029,-,,False
00:30:00.031,-,,False
00:30:02.000,-,,False
00:30:04.002,-,,False
00:30:20.018,-,,False
00:30:22.020,-,,False
00:30:26.024,-,,False
00:30:28.026,-,,False
