at,scene-label,scene-subtype-label,transitional
00:00:00.000,B,,False
00:00:01.101,B,,False
00:00:04.537,B,,True
00:00:08.808,B,,False
00:00:17.617,B,,False
00:00:26.393,B,,False
00:00:35.201,B,,False
00:00:43.977,B,,False
00:00:52.786,B,,False
00:01:01.561,B,,False
00:01:02.162,S,D,False
00:01:02.529,S,D,False
00:01:03.063,S,D,False
00:01:03.530,S,D,False
00:01:04.063,S,D,False
00:01:04.264,S,D,False
00:01:04.531,S,D,False
00:01:04.831,S,D,False
00:01:05.532,S,D,False
00:01:06.066,S,D,False
00:01:07.000,S,D,False
00:01:07.534,S,D,False
00:01:08.001,S,D,False
00:01:08.535,S,D,False
00:01:09.536,S,D,False
00:01:10.003,S,D,False
00:01:10.537,S,D,False
00:01:11.004,S,D,False
00:01:11.838,S,D,False
00:01:11.871,S,D,False
00:01:13.540,S,D,False
00:01:14.007,S,D,False
00:01:15.008,S,D,False
00:01:15.542,S,D,False
00:01:15.642,S,D,False
00:01:16.009,S,D,False
00:01:16.543,S,D,False
00:01:17.010,S,D,False
00:01:18.011,S,D,False
00:01:18.545,S,D,False
00:01:18.845,S,D,False
00:01:22.549,L,,True
00:01:23.750,L,,False
00:01:25.018,L,,False
00:01:30.190,L,,False
00:01:33.560,L,,False
00:01:34.027,L,,False
00:01:38.031,L,,False
00:01:39.566,-,,False
00:01:40.033,-,,False
00:01:40.533,O,,False
00:01:41.534,O,,False
00:01:42.035,O,,False
00:01:43.203,L,,False
00:01:44.537,O,,False
00:01:45.038,O,,False
00:01:46.039,O,,False
00:01:48.541,O,,False
00:01:49.042,O,,False
00:01:49.542,O,,False
00:02:40.426,F,,False
00:02:48.001,P,,False
00:02:49.002,P,,False
00:02:50.537,P,,False
00:02:51.004,P,,False
00:02:54.007,P,,False
00:03:18.031,M,,True
00:03:18.198,G,,False
00:03:19.032,M,,True
00:03:19.566,M,,True
00:03:20.033,M,,False
00:03:20.934,M,,False
00:03:21.034,M,,False
00:03:21.534,M,,False
00:03:22.035,M,,False
00:03:22.535,M,,False
00:03:23.036,M,,False
00:03:23.536,M,,False
00:03:24.037,M,,False
00:03:26.039,M,,False
00:03:26.539,M,,False
00:03:27.040,M,,False
00:03:27.540,M,,False
00:03:27.941,M,,False
00:03:28.041,M,,False
00:03:28.541,M,,False
00:03:29.042,M,,False
00:03:30.543,M,,False
00:03:31.044,M,,False
00:03:31.544,M,,False
00:03:32.045,M,,True
00:03:33.046,Y,,True
00:03:33.546,Y,,False
00:03:33.880,Y,,False
00:03:34.047,Y,,False
00:03:34.547,Y,,False
00:03:35.048,Y,,False
00:03:50.063,P,,False
00:04:01.541,F,,False
00:04:12.619,-,,False
00:04:18.057,-,,False
00:04:27.000,-,,False
00:04:55.561,I,,False
00:05:00.033,I,,False
00:05:06.039,P,,False
00:05:16.049,P,,False
00:05:27.960,-,,False
00:06:07.233,I,,False
00:06:08.034,I,,False
00:06:34.560,-,,False
