at,scene-label,scene-subtype-label,transitional
00:00:07.507,M,,False
00:00:38.505,F,,False
00:00:56.523,I,,False
00:01:03.029,N,,False
00:01:15.642,F,,False
00:01:34.894,F,,False
00:01:42.502,F,,False
00:02:07.026,F,,False
00:02:32.018,F,,False
00:03:06.519,F,,False
00:03:23.002,I,,False
00:03:58.504,F,,False
00:04:19.025,I,,False
00:04:30.503,F,,False
00:04:35.508,-,,False
00:04:52.025,I,,False
00:05:37.036,P,,False
00:06:24.016,Y,,False
00:07:14.767,P,,False
00:07:48.501,F,,False
00:07:52.505,F,,False
00:08:10.022,I,,False
00:08:45.791,-,,False
00:09:22.528,I,,False
00:09:35.007,F,,False
00:09:53.526,-,,False
00:10:01.000,F,,False
00:11:08.000,F,,False
00:11:27.520,F,,False
00:11:44.003,F,,False
00:12:12.031,P,,False
00:12:26.512,F,,False
00:13:21.767,P,,False
00:14:23.028,F,,False
00:15:00.499,P,,False
00:15:21.020,F,,False
00:16:03.028,I,,False
00:16:41.734,P,,False
00:17:54.106,P,,False
00:19:06.478,P,,False
00:20:18.850,P,,False
00:20:56.521,I,,False
00:21:40.032,P,,False
00:23:04.015,F,,False
00:23:48.026,I,,False
00:24:12.517,F,,False
00:24:47.018,F,,False
00:25:39.037,P,,False
00:26:19.010,F,,False
00:26:33.024,F,,False
00:27:03.288,-,,False
00:27:36.521,F,,False
00:28:25.503,C,,False
00:28:30.008,C,,False
00:28:39.017,C,,False
00:28:44.522,C,,False
00:28:53.031,R,,False
