at,scene-label,scene-subtype-label,transitional
00:00:04.504,B,,False
00:01:19.345,S,H,False
00:01:21.014,S,H,False
00:01:26.019,S,H,False
00:01:32.692,S,H,False
00:02:30.016,O,,False
00:02:40.527,O,,False
00:02:53.373,M,,True
00:02:55.008,M,,False
00:03:02.148,M,,False
00:03:15.528,T,,False
00:03:51.197,-,,False
00:04:52.592,-,,False
00:05:54.020,P,,False
00:06:55.415,-,,False
00:07:56.809,-,,False
00:08:29.008,P,,False
00:09:16.756,E,,False
00:10:04.503,E,,False
00:10:05.771,E,,False
00:10:08.274,E,,False
00:10:49.382,-,,False
00:12:09.128,-,,False
00:12:51.003,E,,False
00:13:23.769,-,,False
00:14:29.268,-,,False
00:15:02.001,E,,False
00:15:35.534,-,,False
00:16:38.564,-,,False
00:17:41.593,E,,False
00:18:44.656,E,,False
00:19:47.686,P,,False
00:20:50.716,-,,False
00:21:53.779,-,,False
00:22:56.808,P,,False
00:23:59.838,-,,False
00:25:02.901,-,,False
00:26:05.931,-,,False
00:27:08.960,-,,False
00:28:11.990,-,,False
00:28:46.024,T,,False
00:29:00.505,M,,False
00:29:00.572,M,,False
00:29:12.751,R,,False
00:29:24.929,C,,False
00:29:40.011,L,,False
