at,scene-type,skipped,role-fillers
00:28:48.728,credits,True,no text in image
00:28:49.229,credits,True,DUPLICATE
00:28:49.729,credits,False,Man=J. DUFF GILLESPIE|Girl=CATHY UNRUH
00:28:50.230,credits,True,DUPLICATE
00:28:50.730,credits,True,DUPLICATE
00:28:51.231,credits,True,DUPLICATE
00:28:51.731,credits,True,DUPLICATE
00:28:52.232,credits,True,DUPLICATE
00:28:52.732,credits,True,DUPLICATE
00:28:53.233,credits,True,DUPLICATE
00:28:53.733,credits,True,no text in image
00:28:54.234,credits,False,Dancers=NIKKI AGEE|Dancers=SANDRA KELLEY|Dancers=BEVERLY LOWE|Dancers=BEVERLY OAKES|Dancers=CONNIE THOMAS
00:28:54.734,credits,True,DUPLICATE
00:28:55.235,credits,True,DUPLICATE
00:28:55.735,credits,True,DUPLICATE
00:28:56.236,credits,True,DUPLICATE
00:28:56.736,credits,True,DUPLICATE
00:28:57.237,credits,True,no text in image
00:28:57.737,credits,True,DUPLICATE
00:28:58.238,credits,False,Percussion=TERRY SIDELINKER|Cello=MARIAN HELLER|French Horn=RALPH LOCKWOOD|Piano=ENRICA RAMEY
00:28:58.738,credits,True,DUPLICATE
00:28:59.239,credits,True,DUPLICATE
00:28:59.739,credits,True,DUPLICATE
00:29:00.240,credits,True,DUPLICATE
00:29:00.740,credits,True,DUPLICATE
00:29:01.241,credits,True,DUPLICATE
00:29:01.741,credits,True,no text in image
00:29:02.242,credits,False,Choreographer=POLLY THOMAS
00:29:02.742,credits,True,DUPLICATE
00:29:03.243,credits,True,DUPLICATE
00:29:03.743,credits,True,DUPLICATE
00:29:04.244,credits,True,DUPLICATE
00:29:04.744,credits,True,DUPLICATE
00:29:05.245,credits,True,DUPLICATE
00:29:05.745,credits,True,DUPLICATE
00:29:06.246,credits,True,no text in image
00:29:06.746,credits,False,Prose=JAY BRYANT|Narration=CHARLES HALSTED
00:29:07.247,credits,True,DUPLICATE
00:29:07.747,credits,True,DUPLICATE
00:29:08.248,credits,True,DUPLICATE
00:29:08.748,credits,True,DUPLICATE
00:29:09.249,credits,True,DUPLICATE
00:29:09.749,credits,True,DUPLICATE
00:29:10.250,credits,True,DUPLICATE
00:29:10.750,credits,True,DUPLICATE
00:29:11.251,credits,True,no text in image
00:29:11.751,credits,False,Original Music=LINDA OSTRANDER
00:29:12.252,credits,True,DUPLICATE
00:29:12.752,credits,True,DUPLICATE
00:29:13.253,credits,True,DUPLICATE
00:29:13.753,credits,True,DUPLICATE
00:29:14.254,credits,True,DUPLICATE
00:29:14.754,credits,True,DUPLICATE
00:29:15.255,credits,True,DUPLICATE
00:29:15.755,credits,False,Art Director=ED HEALY
00:29:16.256,credits,True,DUPLICATE
00:29:16.756,credits,True,DUPLICATE
00:29:17.257,credits,True,DUPLICATE
00:29:17.757,credits,True,DUPLICATE
00:29:18.258,credits,True,DUPLICATE
00:29:18.758,credits,True,DUPLICATE
00:29:19.259,credits,True,DUPLICATE
00:29:19.759,credits,True,DUPLICATE
00:29:20.260,credits,False,Film=DAN KOSSOFF|Film=JIM GARVIN
00:29:20.760,credits,True,DUPLICATE
00:29:21.261,credits,True,DUPLICATE
00:29:21.761,credits,True,DUPLICATE
00:29:22.262,credits,True,DUPLICATE
00:29:22.762,credits,True,DUPLICATE
00:29:23.263,credits,True,DUPLICATE
00:29:23.763,credits,True,DUPLICATE
00:29:24.264,credits,True,no text in image
00:29:24.764,credits,False,Scotch Poem op. 31 2=EDWARD MACDOWELL
00:29:25.265,credits,True,DUPLICATE
00:29:25.765,credits,True,DUPLICATE
00:29:26.266,credits,True,DUPLICATE
00:29:26.766,credits,True,DUPLICATE
00:29:27.267,credits,True,DUPLICATE
00:29:27.767,credits,True,no text in image
00:29:28.268,credits,False,Project Directors=RICHARD B. DAY|Project Directors=ROBERT D. TILROE
00:29:28.768,credits,True,DUPLICATE
00:29:29.269,credits,True,DUPLICATE
00:29:29.769,credits,True,DUPLICATE
00:29:30.270,credits,True,DUPLICATE
00:29:30.770,credits,True,DUPLICATE
00:29:31.271,credits,True,DUPLICATE
00:29:31.771,credits,True,no text in image
00:29:32.272,credits,False,Director=DAN KOSSOFF
00:29:32.772,credits,True,DUPLICATE
00:29:33.273,credits,True,DUPLICATE
00:29:33.773,credits,True,DUPLICATE
00:29:34.274,credits,True,DUPLICATE
00:29:34.774,credits,True,DUPLICATE
00:29:35.275,credits,False,Producer=ROBERT D. TILROE
00:29:35.775,credits,True,DUPLICATE
00:29:36.276,credits,True,DUPLICATE
00:29:36.776,credits,True,DUPLICATE
00:29:37.277,credits,True,DUPLICATE
00:29:37.777,credits,True,DUPLICATE
00:29:38.278,credits,True,DUPLICATE
00:29:38.778,credits,True,DUPLICATE
00:29:39.279,credits,True,DUPLICATE
00:29:39.779,credits,True,DUPLICATE
00:29:40.280,credits,True,DUPLICATE
00:29:40.780,credits,True,DUPLICATE
00:29:41.281,credits,True,not K-V
00:29:41.781,credits,True,DUPLICATE
00:29:42.282,credits,True,DUPLICATE
00:29:42.782,credits,True,DUPLICATE
00:29:43.283,credits,True,DUPLICATE
00:29:43.783,credits,True,DUPLICATE
00:29:44.284,credits,True,DUPLICATE
00:29:44.784,credits,True,DUPLICATE
00:29:45.285,credits,True,DUPLICATE
00:29:45.785,credits,True,DUPLICATE
00:29:46.286,credits,True,DUPLICATE
00:29:46.786,credits,True,DUPLICATE
00:29:47.287,credits,True,DUPLICATE
00:29:47.787,credits,True,DUPLICATE
00:29:48.288,credits,True,DUPLICATE
00:29:48.788,credits,True,DUPLICATE
00:29:49.289,credits,True,DUPLICATE
00:29:49.789,credits,True,DUPLICATE
00:29:50.290,credits,True,DUPLICATE
00:29:50.790,credits,True,DUPLICATE
00:29:51.291,credits,True,no text in image
