GUID,FRAME,SWT-TYPE,SKIPPED,ANNOTATIONS
cpb-aacip-189-623bk932,50130,credits,False,",Host,William Pearce"
cpb-aacip-189-623bk932,50145,credits,False,",Host,William Pearce"
cpb-aacip-189-623bk932,50160,credits,False,",Host,William Pearce
,Producer/Director,David Striks"
cpb-aacip-189-623bk932,50175,credits,False,",Producer/Director,David Striks"
cpb-aacip-189-623bk932,50190,credits,False,",Producer/Director,David Striks
,Assistant Director,Denise Logan"
cpb-aacip-189-623bk932,50205,credits,False,",Assistant Director,Denise Logan"
cpb-aacip-189-623bk932,50220,credits,False,",Assistant Director,Denise Logan
,Research/Writer,Lisa Kirk"
cpb-aacip-189-623bk932,50235,credits,False,",Research/Writer,Lisa Kirk"
cpb-aacip-189-623bk932,50250,credits,False,",Research/Writer,Lisa Kirk
,Cameras,Jim Calabrese
,Cameras,Scott H???y"
cpb-aacip-189-623bk932,50265,credits,False,",Cameras,Jim Calabrese
,Cameras,Scott Henry"
cpb-aacip-189-623bk932,50280,credits,False,",Cameras,Jim Calabrese
,Cameras,Scott Henry"
cpb-aacip-189-623bk932,50295,credits,False,",Floor Manager,Lauren Brown"
cpb-aacip-189-623bk932,50310,credits,False,",Floor Manager,Lauren Brown"
cpb-aacip-189-623bk932,50325,credits,False,",Floor Manager,Lauren Brown
,Audio,Don Sparks"
cpb-aacip-189-623bk932,50340,credits,False,",Audio,Don Sparks"
cpb-aacip-189-623bk932,50355,credits,False,",Audio,Don Sparks
,Video,Robin Shears"
cpb-aacip-189-623bk932,50370,credits,False,",Video,Robin Shears"
cpb-aacip-189-623bk932,50385,credits,False,",Video,Robin Shears
,Videotape,Harry Goldberg"
cpb-aacip-189-623bk932,50400,credits,False,",Videotape,Harry Goldberg"
cpb-aacip-189-623bk932,50415,credits,False,",Videotape,Harry Goldberg
,Production Supervisor,Mark Leonard"
cpb-aacip-189-623bk932,50430,credits,False,",Production Supervisor,Mark Leonard"
cpb-aacip-189-623bk932,50445,credits,False,",Production Supervisor,Mark Leonard
,Set Design,Tracy Kane"
cpb-aacip-189-623bk932,50460,credits,False,",Set Design,Tracy Kane"
cpb-aacip-189-623bk932,50475,credits,False,",Set Design,Tracy Kane
,Title Courtesy of,Henry W Clu?e"
cpb-aacip-189-623bk932,50490,credits,False,",Title Courtesy of,Henry W. Clune"
cpb-aacip-189-623bk932,50505,credits,False,",Title Courtesy of,Henry W. Clune"
cpb-aacip-189-623bk932,50520,credits,False,",*Title Courtesy of,Henry W. Clune
,Special Thanks to,HOUSEWORKS"
cpb-aacip-189-623bk932,50535,credits,False,",Special Thanks to,HOUSEWORKS"
cpb-aacip-189-623bk932,50550,credits,False,",Special Thanks to,HOUSEWORKS
,Executive Producer,Chris Zimmerman"
cpb-aacip-189-623bk932,50565,credits,False,",Executive Producer,Chris Zimmerman"
cpb-aacip-189-623bk932,50580,credits,True,DUPLICATE
cpb-aacip-189-623bk932,50595,credits,True,no text in image
