at,scene-type,skipped,role-fillers
00:10:31.631,credits,True,not K-V
00:10:32.132,credits,True,DUPLICATE
00:10:32.632,credits,True,DUPLICATE
00:10:33.133,credits,True,DUPLICATE
00:10:33.633,credits,True,DUPLICATE
00:10:34.134,credits,True,DUPLICATE
00:10:34.634,credits,True,DUPLICATE
00:10:35.135,credits,True,DUPLICATE
00:10:35.635,credits,True,DUPLICATE
00:10:36.136,credits,True,DUPLICATE
00:10:36.636,credits,True,DUPLICATE
00:10:37.137,credits,True,DUPLICATE
00:10:37.637,credits,True,DUPLICATE
00:10:38.138,credits,True,DUPLICATE
00:10:38.638,credits,True,DUPLICATE
00:10:39.139,credits,True,DUPLICATE
00:10:39.639,credits,True,DUPLICATE
00:10:40.140,credits,True,DUPLICATE
00:10:40.640,credits,True,DUPLICATE
00:10:41.141,credits,True,DUPLICATE
