GUID,FRAME,SKIPPED,ANNOTATIONS
cpb-aacip-283-61rfjj43,100110,True,DUPLICATE
cpb-aacip-283-61rfjj43,100125,True,DUPLICATE
cpb-aacip-283-61rfjj43,100140,True,DUPLICATE
cpb-aacip-283-61rfjj43,100155,True,DUPLICATE
cpb-aacip-283-61rfjj43,100170,True,DUPLICATE
cpb-aacip-283-61rfjj43,100185,True,DUPLICATE
cpb-aacip-283-61rfjj43,102630,False,",PRODUCER/DIRECTOR,David Davis"
cpb-aacip-283-61rfjj43,102645,True,DUPLICATE
cpb-aacip-283-61rfjj43,102660,True,DUPLICATE
cpb-aacip-283-61rfjj43,102675,True,DUPLICATE
cpb-aacip-283-61rfjj43,102690,True,DUPLICATE
cpb-aacip-283-61rfjj43,102705,True,DUPLICATE
cpb-aacip-283-61rfjj43,102720,False,",PRODUCER/DIRECTOR,David Davis"
cpb-aacip-283-61rfjj43,102735,False,",PRODUCER/DIRECTOR,David Davis
,CAMERA,Jerry Weissman"
cpb-aacip-283-61rfjj43,102750,True,DUPLICATE
cpb-aacip-283-61rfjj43,102765,True,DUPLICATE
cpb-aacip-283-61rfjj43,102780,False,",PRODUCER/DIRECTOR,David Davis
,CAMERA,Jerry Weissman"
cpb-aacip-283-61rfjj43,102795,False,",CAMERA,Jerry Weissman"
cpb-aacip-283-61rfjj43,102810,False,",CAMERA,Jerry Weissman
,AUDIO,Toby Higashi"
cpb-aacip-283-61rfjj43,102825,True,DUPLICATE
cpb-aacip-283-61rfjj43,102840,True,DUPLICATE
cpb-aacip-283-61rfjj43,102855,False,",CAMERA,Jerry Weissman
,AUDIO,Toby Higashi"
cpb-aacip-283-61rfjj43,102870,False,",CAMERA,Jerry Weissman
,AUDIO,Toby Higashi
,EDITOR,David Davis"
cpb-aacip-283-61rfjj43,102885,False,",*Camera,Jerry Weissman
,AUDIO,Toby Higashi
,EDITOR,David Davis"
cpb-aacip-283-61rfjj43,102900,False,",AUDIO,Toby Higashi
,EDITOR,David Davis with"
