GUID,FRAME,SWT-TYPE,SKIPPED,ANNOTATIONS
cpb-aacip-283-61rfjj43,100110,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,100125,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,100140,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,100155,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,100170,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,100185,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102630,credits,False,",PRODUCER/DIRECTOR,David Davis"
cpb-aacip-283-61rfjj43,102645,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102660,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102675,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102690,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102705,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102720,credits,False,",PRODUCER/DIRECTOR,David Davis"
cpb-aacip-283-61rfjj43,102735,credits,False,",PRODUCER/DIRECTOR,David Davis
,CAMERA,Jerry Weissman"
cpb-aacip-283-61rfjj43,102750,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102765,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102780,credits,False,",PRODUCER/DIRECTOR,David Davis
,CAMERA,Jerry Weissman"
cpb-aacip-283-61rfjj43,102795,credits,False,",CAMERA,Jerry Weissman"
cpb-aacip-283-61rfjj43,102810,credits,False,",CAMERA,Jerry Weissman
,AUDIO,Toby Higashi"
cpb-aacip-283-61rfjj43,102825,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102840,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102855,credits,False,",CAMERA,Jerry Weissman
,AUDIO,Toby Higashi"
cpb-aacip-283-61rfjj43,102870,credits,False,",CAMERA,Jerry Weissman
,AUDIO,Toby Higashi
,EDITOR,David Davis"
cpb-aacip-283-61rfjj43,102885,credits,False,",*Camera,Jerry Weissman
,AUDIO,Toby Higashi
,EDITOR,David Davis"
cpb-aacip-283-61rfjj43,102900,credits,False,",AUDIO,Toby Higashi
,EDITOR,David Davis with"
cpb-aacip-283-61rfjj43,102915,credits,False,",AUDIO,Toby Higashi
,Editor,David Davis with Tom Speer"
cpb-aacip-283-61rfjj43,102930,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102945,credits,True,DUPLICATE
cpb-aacip-283-61rfjj43,102960,credits,False,",EDITOR,David Davis with Tom Speer"
