at,scene-type,skipped,role-fillers
00:15:47.947,credits,True,no text in image
00:15:48.448,credits,True,DUPLICATE
00:15:48.948,credits,True,DUPLICATE
00:15:49.449,credits,True,DUPLICATE
00:15:49.949,credits,True,DUPLICATE
00:15:50.450,credits,True,DUPLICATE
00:17:34.054,credits,True,DUPLICATE
00:17:34.554,credits,True,DUPLICATE
00:17:35.055,credits,True,DUPLICATE
00:17:35.555,credits,True,DUPLICATE
00:17:36.056,credits,True,DUPLICATE
00:17:36.556,credits,True,DUPLICATE
00:17:37.057,credits,True,DUPLICATE
00:17:37.557,credits,True,DUPLICATE
00:17:38.058,credits,True,DUPLICATE
00:17:38.558,credits,True,DUPLICATE
00:17:39.059,credits,True,DUPLICATE
00:17:39.559,credits,True,DUPLICATE
00:17:40.060,credits,True,DUPLICATE
00:17:40.560,credits,True,DUPLICATE
