at,scene-type,skipped,role-fillers
00:01:26.086,credits,True,DUPLICATE
00:01:26.586,credits,True,DUPLICATE
00:01:27.087,credits,True,DUPLICATE
00:01:27.587,credits,True,DUPLICATE
00:01:28.088,credits,True,DUPLICATE
00:01:28.588,credits,True,DUPLICATE
00:29:26.766,credits,False,Executive Producer=BERYL DAKERS
00:29:27.267,credits,True,DUPLICATE
00:29:27.767,credits,True,DUPLICATE
00:29:28.268,credits,True,DUPLICATE
00:29:28.768,credits,False,Director=STEVE FOLKS
00:29:29.269,credits,True,DUPLICATE
00:29:29.769,credits,True,DUPLICATE
00:29:30.270,credits,True,DUPLICATE
00:29:30.770,credits,True,DUPLICATE
00:29:31.271,credits,True,DUPLICATE
00:29:31.771,credits,True,DUPLICATE
00:29:32.272,credits,True,DUPLICATE
00:29:32.772,credits,False,Production Assistant=KAREN SMOAK
00:29:33.273,credits,True,DUPLICATE
00:29:33.773,credits,True,DUPLICATE
00:29:34.274,credits,True,DUPLICATE
00:29:34.774,credits,True,DUPLICATE
00:29:35.275,credits,False,Audio=OLIN JENKINS|Video=WOODY FREEMAN
00:29:35.775,credits,True,DUPLICATE
00:29:36.276,credits,True,DUPLICATE
00:29:36.776,credits,True,DUPLICATE
00:29:37.277,credits,True,DUPLICATE
00:29:37.777,credits,True,DUPLICATE
00:29:38.278,credits,True,DUPLICATE
00:29:38.778,credits,False,Videotape=TONY REALE
00:29:39.279,credits,True,DUPLICATE
00:29:39.779,credits,True,DUPLICATE
00:29:40.280,credits,True,DUPLICATE
00:29:40.780,credits,True,DUPLICATE
00:29:41.281,credits,True,DUPLICATE
00:29:41.781,credits,False,Lighting=LANDRY LAYSON|Lighting=SAMMIE GAINES
00:29:42.282,credits,True,DUPLICATE
00:29:42.782,credits,True,DUPLICATE
00:29:43.283,credits,True,DUPLICATE
00:29:43.783,credits,True,DUPLICATE
00:29:44.284,credits,True,DUPLICATE
00:29:44.784,credits,True,DUPLICATE
00:29:45.285,credits,False,Set Design=CHARLIE INGLETT
00:29:45.785,credits,True,DUPLICATE
00:29:46.286,credits,True,DUPLICATE
00:29:46.786,credits,True,DUPLICATE
00:29:47.287,credits,True,DUPLICATE
00:29:47.787,credits,True,DUPLICATE
00:29:48.288,credits,False,Unit Managers=JOHN GUNTER|Unit Managers=PECK JACKSON
00:29:48.788,credits,True,DUPLICATE
00:29:49.289,credits,True,DUPLICATE
00:29:49.789,credits,True,DUPLICATE
00:29:50.290,credits,True,DUPLICATE
00:29:50.790,credits,True,DUPLICATE
00:29:51.291,credits,True,DUPLICATE
00:29:51.791,credits,False,Camera Operators=CLINT BRYSON|Camera Operators=J.C. ARTEMUS
00:29:52.292,credits,True,DUPLICATE
00:29:52.792,credits,True,DUPLICATE
00:29:53.293,credits,True,DUPLICATE
00:29:53.793,credits,True,DUPLICATE
00:29:54.294,credits,True,DUPLICATE
00:29:54.794,credits,True,not K-V
00:29:55.295,credits,True,DUPLICATE
00:29:55.795,credits,True,DUPLICATE
00:29:56.296,credits,True,DUPLICATE
00:29:56.796,credits,True,DUPLICATE
00:29:57.297,credits,True,DUPLICATE
00:29:57.797,credits,True,DUPLICATE
00:29:58.298,credits,True,DUPLICATE
00:29:58.798,credits,True,DUPLICATE
00:29:59.299,credits,True,DUPLICATE
00:29:59.799,credits,True,DUPLICATE
00:30:00.300,credits,True,no text in image
