GUID,FRAME,SWT-TYPE,SKIPPED,ANNOTATIONS
cpb-aacip-507-736m03zh49,101730,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101745,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101760,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101775,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101790,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101805,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101820,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101835,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101850,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101865,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101880,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,101895,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,102030,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,102045,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,102060,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,102075,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,102090,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,102105,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,103680,credits,True,not K-V
cpb-aacip-507-736m03zh49,103695,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,103710,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,103725,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,103740,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,103755,credits,True,no text in image
cpb-aacip-507-736m03zh49,105000,credits,False,",Chief Washington Correspondent,JUDY WOODRUFF
,National Correspondent,CHARLAYNE HUNTER-GAULT"
cpb-aacip-507-736m03zh49,105015,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105030,credits,False,",Correspondents,TOM BEARDEN
,Correspondents,ELIZABETH BRACKETT
,Correspondents,KWAME HOLMAN
,Correspondents,CHARLES KRAUSE
,Correspondents,ROGER MUDD"
cpb-aacip-507-736m03zh49,105045,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105060,credits,False,",Managing Producers,SUSAN MILLS
,Managing Producers,PATTI PARSON
,Managing Producers,GREGG RAMSHAW
,Managing Producers,LEWIS  SILVERMAN"
cpb-aacip-507-736m03zh49,105075,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105090,credits,False,",Senior Producers,JOHN DeNATALE
,Senior Producers,MICHAEL D. MOSETTIG
,Senior Producers,LINDA RICCI
,Senior Producers,PEGGY ROBINSON
,Senior Producers,MICHAEL SALTZ
,Senior Producers,JAMES A. TRENGROVE"
cpb-aacip-507-736m03zh49,105105,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105120,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105135,credits,False,",News Editor,ANNETTE MILLER
,Assignment Editor,MARY JO BROOKS"
cpb-aacip-507-736m03zh49,105150,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105165,credits,False,",Producers,CAROL BLAKESLEE-COLLIN
,Producers,ELIZABETH CALLAN
,Producers,RICK COHEN
,Producers,JACKIE FARMER
,Producers,JEFF SCOTT GOLDMAN"
cpb-aacip-507-736m03zh49,105180,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105195,credits,False,",Producers,MONICA HOOSE
,Producers,MICHAEL JOSELOFF
,Producers,LEE KOROMVOKIS
,Producers,TIM SMITH
,Producers,TONY VAN WITSEN"
cpb-aacip-507-736m03zh49,105210,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105225,credits,False,",Associate Producers,KENAN BLOCK
,Associate Producers,DEBRA BUTLER
,Associate Producers,JAMES GAFFEY
,Associate Producers,JULIE KLAPPER
,Associate Producers,LAURA LEVIN
,Associate Producers,ANTONY L. MAHN
,Associate Producers,KATHRYN OLSON
,Associate Producers,MERRILL SCHWERIN
,Associate Producers,BENEDICT H. THOMAS"
cpb-aacip-507-736m03zh49,105240,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105255,credits,False,",Reporters,SUSAN ADAMS
,Reporters,SHANNON BRADLEY
,Reporters,JEFFREY BROWN
,Reporters,PAUL HECHINGER
,Reporters,SHEILA C. LUMMIS"
cpb-aacip-507-736m03zh49,105270,credits,True,DUPLICATE
cpb-aacip-507-736m03zh49,105285,credits,True,DUPLICATE
