GUID,FRAME,SWT-TYPE,SKIPPED,ANNOTATIONS
cpb-aacip-507-gm81j9807d,101670,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101685,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101700,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101715,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101730,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101745,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101760,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101775,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101790,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,101805,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,106530,credits,False,",Executive Producer,LESTER M. CRYSTAL"
cpb-aacip-507-gm81j9807d,106545,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,106560,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,106575,credits,True,not K-V
cpb-aacip-507-gm81j9807d,106590,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,106605,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,106620,credits,False,",A Production Of,WNET/WETA & MacNEIL/LEHRER PRODUCTIONS"
cpb-aacip-507-gm81j9807d,106635,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,106650,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,106665,credits,True,not K-V
cpb-aacip-507-gm81j9807d,13080,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,13095,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,13110,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,13125,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,13140,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,13155,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,16620,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,16635,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,16650,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,16665,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,16680,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,16695,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53490,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53505,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53520,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53535,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53550,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53565,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53580,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53595,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53670,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53685,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53700,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53715,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53730,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,53745,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,54810,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,54825,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,54840,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,54855,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,54870,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,54885,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,54900,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,54915,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55050,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55065,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55080,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55095,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55110,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55125,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55290,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55305,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55320,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55335,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55350,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55365,credits,True,not K-V
cpb-aacip-507-gm81j9807d,55380,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55395,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55410,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55425,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55440,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55455,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55470,credits,True,not K-V
cpb-aacip-507-gm81j9807d,55485,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55500,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55515,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55530,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55545,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55560,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55575,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55590,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55605,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55620,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55635,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55650,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55665,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55680,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55695,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55710,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55725,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55740,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55755,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55770,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55785,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55800,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55815,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55830,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55845,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55890,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55905,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55920,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55935,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55950,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55965,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,55980,credits,True,no text in image
cpb-aacip-507-gm81j9807d,55995,credits,True,not K-V
cpb-aacip-507-gm81j9807d,56010,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56025,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56040,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56055,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56070,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56085,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56100,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56115,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56130,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56145,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56160,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,56175,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,59100,credits,True,no text in image
cpb-aacip-507-gm81j9807d,59115,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,59130,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,59145,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,59160,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,59175,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,59190,credits,True,DUPLICATE
cpb-aacip-507-gm81j9807d,59205,credits,True,DUPLICATE
