GUID,FRAME,SKIPPED,ANNOTATIONS
cpb-aacip-507-rj48p5w80b,51030,False,",PRODUCED BY,LEWIS SILVERMAN
,REPORTER,JUNE CROSS"
cpb-aacip-507-rj48p5w80b,51045,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51060,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51075,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51090,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51105,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51120,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51135,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51150,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51165,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51180,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51195,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51210,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51225,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51240,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51255,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51270,False,",DIRECTED BY,MICK COLGAN"
cpb-aacip-507-rj48p5w80b,51285,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51300,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51315,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51330,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51345,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51360,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51375,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51900,True,not K-V
cpb-aacip-507-rj48p5w80b,51915,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51930,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51945,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51960,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51975,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,51990,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52005,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52020,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52035,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52050,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52065,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52080,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52095,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52110,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52125,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52140,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52155,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52920,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52935,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52950,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52965,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52980,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,52995,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,53010,True,DUPLICATE
cpb-aacip-507-rj48p5w80b,53025,True,DUPLICATE
