GUID,FRAME,SWT-TYPE,SKIPPED,ANNOTATIONS
cpb-aacip-507-tq5r786f7w,104130,credits,False,",Deputy Executive Producer,LINDA WINSLOW"
cpb-aacip-507-tq5r786f7w,104145,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104160,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104175,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104190,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104205,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104340,credits,False,",Managing Producer-Washington,GREGG RAMSHAW
,Managing Producer-Denver,PATTI PARSON"
cpb-aacip-507-tq5r786f7w,104355,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104370,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104385,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104400,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104415,credits,False,",Support and research assistance for the Health Policy Unit provided by,The Henry J. Kaiser Family Foundation"
cpb-aacip-507-tq5r786f7w,104790,credits,False,",Associate Director,STEVE HOWARD
,Technical Director,GREGORY L. KING"
cpb-aacip-507-tq5r786f7w,104805,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104820,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104835,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104850,credits,False,",Executive Producer,LESTER M. CRYSTAL"
cpb-aacip-507-tq5r786f7w,104865,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104880,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104895,credits,False,",A Coproduction of:,MacNEIL/LEHRER PRODUCTIONS & WETA in Association with WNET/13"
cpb-aacip-507-tq5r786f7w,104910,credits,True,not K-V
cpb-aacip-507-tq5r786f7w,104925,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104940,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,104955,credits,True,no text in image
cpb-aacip-507-tq5r786f7w,43650,credits,True,no text in image
cpb-aacip-507-tq5r786f7w,43665,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43680,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43695,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43710,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43725,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43740,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43755,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43770,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43785,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43800,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,43815,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,47220,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,47235,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,47250,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,47265,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,47280,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,47295,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,47310,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,47325,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,48690,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,48705,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,48720,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,48735,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,48750,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,48765,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,48780,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,48795,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,65730,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,65745,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,65760,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,65775,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,65790,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,65805,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95070,credits,True,not K-V
cpb-aacip-507-tq5r786f7w,95085,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95100,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95115,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95130,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95145,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95160,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95175,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95190,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95205,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95220,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95235,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95250,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95265,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95280,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,95295,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99690,credits,True,no text in image
cpb-aacip-507-tq5r786f7w,99705,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99720,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99735,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99750,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99765,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99780,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99795,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99810,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99825,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99840,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99855,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99870,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99885,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99900,credits,True,DUPLICATE
cpb-aacip-507-tq5r786f7w,99915,credits,True,DUPLICATE
