at,scene-label,scene-subtype-label,transitional
00:01:39.566,S,D,False
00:01:41.534,S,D,False
00:01:42.002,S,D,False
00:01:43.003,S,D,False
00:01:43.536,S,D,False
00:01:44.004,S,D,False
00:01:45.005,S,D,False
00:01:48.541,S,D,False
00:01:49.009,S,D,False
00:01:49.542,S,D,False
00:01:50.010,S,D,False
00:01:51.011,S,D,False
00:01:52.012,S,D,False
00:01:54.547,S,D,False
00:01:55.015,S,D,False
00:01:55.548,S,D,False
00:01:56.016,S,D,False
00:01:56.549,S,D,False
00:01:57.017,S,D,False
00:01:57.550,S,D,False
00:02:01.021,S,D,False
00:02:04.557,S,D,False
00:02:08.561,O,,True
00:02:09.562,O,,False
00:02:10.563,O,,False
00:02:11.031,O,,False
00:02:14.034,L,,False
00:02:15.035,L,,False
00:02:18.038,L,,False
00:02:19.039,L,,False
00:02:20.507,L,,False
00:02:21.508,O,,True
00:02:22.042,O,,False
00:02:22.509,O,,False
00:02:24.511,O,,True
00:02:25.045,O,,True
00:02:26.046,O,,False
00:02:28.048,O,,False
00:02:29.516,O,,False
00:02:30.517,O,,False
00:02:31.518,L,,False
00:02:32.052,L,,False
00:02:32.519,L,,False
00:02:33.053,-,,False
00:02:33.520,L,,True
00:02:34.521,L,,False
00:02:36.056,L,,False
00:02:39.526,L,,False
00:02:40.527,L,,False
00:02:44.064,M,,False
00:02:44.531,M,,False
00:02:45.065,M,,False
00:02:46.066,M,,False
00:02:46.533,M,,False
00:02:48.001,M,,False
00:02:49.536,M,,False
00:02:51.004,M,,False
00:02:52.005,M,,False
00:02:52.539,M,,False
00:02:53.540,M,,False
00:02:54.007,M,,False
00:02:54.541,M,,False
00:03:02.549,P,,False
00:03:05.552,P,,False
00:03:15.562,P,,False
00:03:21.534,P,,False
00:04:51.024,P,,False
00:05:00.533,P,,False
00:05:01.001,P,,False
00:05:19.019,-,,False
00:05:32.032,-,,False
00:05:34.501,-,,False
00:05:51.051,-,,False
00:06:08.535,P,,False
00:06:11.004,P,,False
00:06:26.019,P,,False
00:07:24.511,M,,True
00:07:27.514,M,,False
00:07:28.048,M,,False
00:07:30.517,O,,True
00:07:31.051,O,,False
00:07:31.518,O,,False
00:07:46.066,F,,False
00:07:52.005,F,,False
00:08:17.030,-,,False
00:10:23.023,-,,False
00:12:49.002,-,,False
00:12:56.009,-,,False
00:13:11.558,F,,False
00:13:12.025,F,,False
00:13:12.559,F,,False
00:13:28.541,P,,False
00:13:31.011,P,,False
00:13:33.013,P,,False
00:13:34.547,P,,False
00:13:39.019,P,,False
00:13:41.554,P,,False
00:13:42.555,P,,False
00:15:24.557,-,,False
00:15:25.025,-,,False
00:15:29.562,P,,False
00:15:32.032,P,,False
00:15:37.037,P,,False
00:15:58.525,P,,False
00:17:06.559,I,,False
00:17:08.028,I,,False
00:17:08.561,I,,True
00:19:05.045,P,,True
00:19:09.516,-,,False
00:20:15.548,P,,False
00:20:27.027,P,,True
00:20:33.500,P,,False
00:20:36.503,P,,False
00:22:54.541,I,,False
00:23:36.549,-,,False
00:23:39.552,P,,False
00:23:43.023,P,,False
00:23:45.025,-,,False
00:23:48.561,F,,False
00:23:50.030,F,,False
00:24:22.062,P,,False
00:25:33.500,F,,False
00:25:34.034,F,,True
00:25:34.501,F,,False
00:25:35.035,F,,True
00:25:36.036,F,,False
00:25:36.503,F,,False
00:25:37.037,F,,False
00:25:37.504,F,,False
00:25:38.038,F,,True
00:30:33.033,P,,False
00:32:17.504,-,,False
00:32:19.039,F,,False
00:32:20.040,F,,False
00:32:21.508,F,,False
00:32:29.516,F,,False
00:32:30.517,F,,False
00:32:31.051,F,,False
00:32:32.052,F,,False
00:32:32.519,F,,False
00:33:17.030,P,,False
00:33:39.019,-,,False
00:34:16.056,P,,False
00:34:41.014,F,,False
00:35:15.548,P,,False
00:35:21.021,-,,False
00:35:22.555,-,,False
00:35:37.037,-,,False
00:35:39.506,-,,False
00:35:49.049,P,,False
00:36:14.541,P,,False
00:36:37.030,F,,False
00:36:39.032,F,,False
00:36:39.566,F,,False
00:36:40.033,F,,False
00:36:43.003,P,,False
00:36:44.004,P,,False
00:36:45.538,P,,False
00:36:46.539,P,,False
00:36:53.013,P,,False
00:37:10.563,P,,False
00:37:11.031,P,,False
00:37:13.500,P,,False
00:37:16.503,P,,False
00:37:22.509,P,,False
00:37:24.511,P,,False
00:38:14.561,P,,False
00:38:17.030,P,,False
00:38:22.002,P,,False
00:38:31.011,P,,False
00:38:32.012,P,,False
00:38:34.014,P,,False
00:38:54.034,F,,False
00:38:58.505,F,,False
00:39:02.509,F,,False
00:39:03.043,F,,False
00:39:03.510,F,,False
00:39:04.044,F,,False
00:39:05.512,F,,False
00:39:28.001,I,,False
00:39:37.010,P,,False
00:39:38.011,P,,False
00:41:48.008,P,,False
00:41:55.015,P,,False
00:42:39.526,E,,False
00:42:42.529,E,,False
00:42:43.530,E,,False
00:42:45.532,E,,False
00:42:46.066,E,,False
00:42:46.533,E,,False
00:42:47.000,E,,False
00:42:48.001,E,,False
00:42:49.002,E,,False
00:42:50.537,E,,False
00:42:51.004,E,,False
00:42:51.538,E,,False
00:42:52.005,E,,False
00:42:52.539,E,,False
00:42:53.006,E,,False
00:42:53.540,E,,False
00:42:54.541,E,,False
00:42:55.008,E,,False
00:42:57.544,E,,False
00:42:58.011,E,,False
00:42:59.012,E,,False
00:43:00.547,E,,False
00:43:02.015,E,,False
00:43:04.551,E,,False
00:43:05.018,E,,False
00:43:06.553,E,,False
00:43:07.020,E,,False
00:43:08.021,E,,False
00:43:09.556,E,,False
00:43:24.537,E,,False
00:43:29.009,E,,False
00:43:30.010,E,,False
00:43:31.011,E,,False
00:43:31.544,E,,False
00:43:32.012,E,,False
00:43:34.014,E,,False
00:43:34.547,E,,False
00:43:35.548,E,,False
00:43:36.016,E,,False
00:43:36.549,E,,False
00:43:37.017,E,,False
00:43:39.552,E,,False
00:43:40.020,E,,False
00:43:40.553,E,,False
00:43:41.021,E,,False
00:43:41.554,E,,False
00:43:43.556,E,,True
00:43:45.025,E,,False
00:43:48.028,E,,False
00:43:48.561,E,,False
00:43:49.029,E,,False
00:43:49.562,E,,False
00:43:50.030,E,,False
00:43:56.036,E,,False
00:43:57.504,E,,False
00:44:02.509,E,,False
00:44:04.511,E,,False
00:46:24.551,-,,False
00:46:27.020,-,,False
00:46:31.024,-,,False
00:46:31.558,-,,False
00:46:32.025,-,,False
00:46:33.560,-,,False
00:46:36.029,P,,False
00:46:39.032,-,,False
00:46:51.011,P,,False
00:49:38.545,-,,False
00:51:05.065,F,,False
00:51:05.532,F,,False
00:51:14.007,-,,False
00:51:18.545,P,,False
00:51:33.560,-,,False
00:51:35.562,-,,False
00:51:39.032,-,,False
00:51:59.552,-,,False
00:52:13.500,-,,False
00:52:56.543,P,,False
00:52:59.012,W,,False
00:53:31.544,P,,False
00:54:12.052,-,,False
00:55:28.028,I,,False
00:57:29.516,F,,False
00:57:31.051,F,,False
00:57:37.057,C,,True
00:57:38.058,C,,False
00:57:39.059,C,,True
00:57:39.526,C,,False
00:57:40.060,C,,False
00:57:41.528,C,,False
00:57:42.062,C,,False
00:57:42.529,C,,False
00:57:43.063,C,,False
00:57:43.530,C,,False
00:57:44.531,C,,False
00:57:45.065,C,,False
00:57:45.532,C,,False
00:57:46.066,C,,False
00:57:46.533,C,,False
00:57:47.000,C,,False
00:57:48.001,C,,False
00:57:49.002,C,,False
00:57:49.536,C,,False
00:57:50.003,C,,False
00:57:52.539,C,,False
00:57:53.540,C,,False
00:57:54.541,C,,False
00:57:55.008,C,,False
00:57:55.542,C,,False
00:57:56.543,C,,False
00:57:57.544,C,,False
00:57:58.545,C,,False
00:58:00.013,C,,False
00:58:00.547,C,,False
00:58:01.014,C,,False
00:58:02.549,C,,False
00:58:03.016,C,,False
00:58:03.550,C,,False
00:58:04.017,C,,False
00:58:04.551,C,,False
00:58:06.019,C,,False
00:58:06.553,C,,False
00:58:07.020,C,,False
00:58:07.554,C,,False
00:58:09.022,C,,False
00:58:10.023,C,,False
00:58:10.557,C,,False
00:58:11.024,C,,False
00:58:11.558,C,,False
00:58:12.559,C,,False
00:58:13.560,C,,False
00:58:14.561,C,,False
00:58:15.028,C,,False
00:58:15.562,C,,False
00:58:16.563,C,,False
00:58:17.030,C,,False
00:58:20.033,C,,False
00:58:20.533,C,,False
00:58:21.001,C,,False
00:58:23.003,C,,False
00:58:23.536,C,,False
00:58:24.004,C,,False
00:58:25.005,C,,False
00:58:25.538,C,,False
00:58:26.539,C,,False
00:58:27.007,C,,False
00:58:27.540,C,,False
00:58:28.008,C,,False
00:58:28.541,C,,False
00:58:29.542,C,,False
00:58:31.544,R,,False
00:58:32.545,R,,False
00:58:33.013,R,,False
00:58:35.548,L,,True
00:58:36.549,L,,False
00:58:37.550,L,,False
00:58:38.018,L,,False
00:58:39.019,L,,False
00:58:39.552,L,,False
00:58:40.020,L,,False
00:58:42.022,L,,False
00:58:42.555,L,,False
00:58:43.023,L,,False
00:58:43.556,L,,False
00:58:45.025,G,,False
00:58:46.559,G,,False
00:58:49.562,G,,False
00:58:50.563,G,,False
00:58:52.565,-,,False
00:58:54.034,G,,False
00:58:55.035,G,,False
00:58:55.502,G,,True
00:58:56.036,G,,True
00:58:57.504,G,,False
00:58:58.038,G,,False
00:58:59.039,G,,False
00:59:02.042,G,,False
00:59:06.046,G,,False
00:59:06.513,G,,False
00:59:07.047,G,,False
