at,scene-type,scene-subtype,transitional
00:01:16.543,L,,True
00:01:18.545,L,,False
00:01:23.550,P,,False
00:01:27.554,P,,False
00:01:37.030,P,,False
00:01:49.542,P,,False
00:02:14.501,-,,False
00:02:20.507,M,,True
00:02:21.041,M,,True
00:02:21.508,M,,True
00:02:24.044,M,,False
00:02:24.511,M,,False
00:02:25.512,M,,False
00:02:26.046,M,,False
00:02:27.047,M,,False
00:02:28.048,M,,False
00:02:32.519,M,,False
00:02:34.054,M,,False
00:02:35.055,M,,False
00:02:35.522,M,,False
00:02:36.056,M,,False
00:02:37.524,M,,False
00:02:40.527,M,,True
00:02:44.531,P,,False
00:02:47.000,-,,False
00:02:48.001,-,,False
00:02:49.002,-,,False
00:02:49.536,-,,False
00:02:51.538,-,,False
00:02:54.007,-,,False
00:02:56.543,-,,False
00:02:58.545,-,,False
00:03:00.547,-,,False
00:03:01.014,-,,False
00:03:05.018,-,,False
00:03:05.552,-,,False
00:03:06.019,-,,False
00:03:10.023,F,,False
00:03:10.557,F,,False
00:03:11.024,F,,False
00:03:11.558,F,,False
00:03:12.559,F,,False
00:03:13.026,F,,False
00:03:13.560,F,,False
00:03:14.027,F,,False
00:03:15.028,F,,False
00:03:15.562,F,,False
00:03:16.029,F,,False
00:03:16.563,F,,False
00:03:20.533,F,,False
00:03:21.534,F,,False
00:03:22.002,F,,False
00:03:22.535,F,,False
00:03:23.003,F,,False
00:03:23.536,F,,False
00:03:24.537,F,,False
00:03:25.538,F,,False
00:03:26.006,F,,False
00:03:26.539,F,,False
00:03:27.007,F,,False
00:03:27.540,-,,False
00:03:29.542,-,,False
00:03:32.012,-,,False
00:03:33.013,-,,False
00:03:34.014,-,,False
00:03:35.015,-,,False
00:03:36.016,-,,False
00:09:24.064,P,,False
00:09:35.542,-,,False
00:09:37.010,-,,False
00:13:06.019,-,,False
00:13:07.554,-,,False
00:18:13.560,P,,False
00:18:20.033,P,,False
00:18:20.533,P,,False
00:28:20.533,P,,False
00:29:01.508,P,,False
00:29:03.510,M,,True
00:29:04.044,M,,False
00:29:05.045,M,,False
00:29:06.046,C,,False
00:29:08.515,C,,False
00:29:09.049,C,,False
00:29:09.516,C,,False
00:29:10.050,C,,False
00:29:10.517,C,,False
00:29:12.052,C,,False
00:29:13.053,C,,False
00:29:13.520,C,,False
00:29:14.054,C,,False
00:29:15.522,C,,False
00:29:16.056,C,,False
00:29:16.523,C,,False
00:29:18.058,C,,False
00:29:18.525,C,,False
00:29:19.526,C,,False
00:29:20.060,C,,False
00:29:20.527,C,,False
00:29:22.529,C,,False
00:29:25.532,C,,False
00:29:27.000,C,,False
00:29:28.001,C,,False
00:29:28.535,C,,False
00:29:29.002,C,,False
00:29:30.003,C,,False
00:29:31.538,C,,False
00:29:32.005,C,,False
00:29:34.007,C,,False
00:29:34.541,C,,False
00:29:35.008,C,,False
00:29:35.542,C,,False
00:29:36.009,C,,False
00:29:36.543,C,,False
00:29:37.010,C,,False
00:29:38.545,C,,False
00:29:39.546,C,,False
00:29:40.547,C,,False
00:29:41.014,C,,False
00:29:42.549,C,,False
00:29:43.016,C,,False
00:29:44.551,C,,False
00:29:45.552,C,,False
00:29:47.554,R,,False
00:29:48.555,C,,False
00:29:49.022,C,,False
00:29:49.556,C,,False
00:29:52.025,C,,False
00:29:52.559,C,,False
00:29:53.560,C,,False
00:29:55.028,C,,False
00:29:56.563,C,,True
00:29:59.566,L,,True
00:30:01.534,L,,False
00:30:03.003,L,,False
00:30:03.536,L,,False
00:30:04.004,L,,False
00:30:05.538,L,,False
00:30:06.006,L,,False
00:30:07.540,L,,False
00:30:09.542,L,,False
