at,scene-type,scene-subtype,transitional
00:00:01.000,B,,False
00:00:18.651,S,G,False
00:00:23.890,S,G,False
00:00:24.524,S,G,False
00:01:00.293,-,,False
00:01:37.530,M,,False
00:02:12.432,P,,False
00:03:21.267,-,,False
00:04:30.103,F,,False
00:05:06.005,F,,False
00:05:48.514,-,,False
00:06:02.028,-,,False
00:06:46.773,P,,False
00:07:32.518,F,,False
00:07:51.003,F,,False
00:08:36.782,-,,False
00:09:15.521,F,,False
00:09:37.009,F,,False
00:10:01.000,F,,False
00:11:05.531,P,,False
00:12:05.024,E,,False
00:12:20.506,F,,False
00:12:53.639,-,,False
00:13:55.935,-,,False
00:14:58.230,P,,False
00:16:00.526,-,,False
00:17:02.788,-,,False
00:18:05.084,-,,False
00:19:07.379,-,,False
00:19:45.017,-,,False
00:20:16.949,P,,False
00:21:19.811,P,,False
00:22:22.674,P,,False
00:23:25.537,-,,False
00:24:28.366,-,,False
00:25:31.229,-,,False
00:26:34.092,-,,False
00:27:07.459,C,,False
00:27:09.527,C,,False
00:27:11.329,C,,False
00:27:15.200,R,,False
00:27:19.070,-,,False
