at,scene-type,scene-subtype,transitional
00:00:32.032,I,,False
00:01:08.168,G,,False
00:01:16.409,G,,False
00:01:24.651,G,,False
00:01:29.522,G,,False
00:01:32.892,G,,False
00:02:13.500,-,,False
00:02:39.025,-,,False
00:03:12.025,-,,False
00:04:16.022,-,,False
00:05:20.020,-,,False
00:05:58.525,I,,False
00:07:00.520,I,,False
00:07:52.005,P,,False
00:08:10.523,P,,False
00:08:44.290,-,,False
00:09:17.757,C,,True
00:09:21.261,C,,False
00:09:24.764,C,,False
00:09:28.001,C,,False
00:09:28.268,C,,False
00:09:31.771,C,,False
00:09:35.275,C,,False
00:09:38.778,R,,False
00:09:42.282,R,,False
