at,scene-type,scene-subtype,transitional
00:00:03.003,B,,False
00:00:08.775,S,G,False
00:00:15.281,S,G,False
00:00:16.015,S,G,False
00:00:59.025,M,,True
00:01:13.506,M,,False
00:01:20.513,I,,False
00:01:32.525,E,,False
00:01:43.503,E,,False
00:01:46.506,E,,False
00:02:06.526,F,,False
00:02:16.503,F,,False
00:02:36.523,I,,False
00:02:59.012,F,,False
00:03:03.516,I,,False
00:03:21.000,I,,False
00:03:31.511,F,,False
00:03:43.022,I,,False
00:04:00.006,G,,False
00:04:28.001,P,,False
00:04:56.529,I,,False
00:05:13.012,-,,False
00:05:32.532,I,,False
00:05:59.525,E,,False
00:07:05.024,G,,False
00:07:18.371,N,,False
00:07:33.019,N,,False
00:07:47.667,N,,False
00:08:02.315,N,,False
00:08:16.963,N,,False
00:08:31.611,N,,False
00:08:46.259,N,,False
00:09:00.907,N,,False
00:09:09.515,N,,False
00:09:15.555,N,,False
00:09:30.202,N,,False
00:09:52.525,G,,False
00:09:59.532,N,,False
00:10:00.700,N,,False
00:10:15.081,N,,False
00:10:29.462,N,,False
00:10:43.843,N,,False
00:11:07.800,G,,False
00:11:11.337,G,,False
00:11:14.907,G,,False
00:11:18.444,G,,False
00:11:21.981,G,,False
00:11:22.014,G,,False
00:11:25.551,G,,False
00:11:29.088,G,,False
00:11:32.625,G,,False
00:11:36.162,G,,False
00:11:39.732,G,,False
00:12:29.014,I,,False
00:13:36.782,P,,False
00:14:44.016,E,,False
00:15:29.261,P,,False
00:16:19.511,I,,False
00:16:52.644,P,,False
00:17:56.875,P,,False
00:18:32.010,G,,False
00:18:46.024,G,,False
00:18:52.898,G,,False
00:19:01.006,G,,False
00:19:01.640,G,,False
00:19:13.018,G,,False
00:19:18.023,G,,False
00:19:20.526,G,,False
00:19:21.026,G,,False
00:19:23.996,G,,False
00:19:26.999,G,,False
00:19:34.506,G,,False
00:19:59.531,G,,False
00:20:26.525,I,,False
00:20:45.510,I,,False
00:20:50.515,F,,False
00:21:11.503,I,,False
00:21:23.515,I,,False
00:22:06.792,P,,False
00:22:47.999,Y,,False
00:23:06.518,I,,False
00:23:34.513,I,,False
00:24:02.007,I,,False
00:24:11.016,I,,False
00:24:54.526,P,,False
00:25:39.905,C,,False
00:25:43.675,C,,False
00:25:47.479,C,,False
00:25:51.249,C,,False
00:25:55.053,C,,False
00:25:58.823,C,,False
00:26:02.027,C,,False
00:26:02.627,C,,False
00:26:06.398,C,,False
00:26:10.201,C,,False
00:26:13.972,C,,False
00:26:17.776,C,,False
00:26:21.546,C,,False
00:26:25.350,C,,False
00:26:29.120,R,,False
