at,scene-type,scene-subtype,transitional
00:00:02.502,B,,False
00:00:09.509,S,,False
00:00:13.513,S,,False
00:00:17.517,S,,False
00:01:05.031,I,,False
00:01:32.025,G,,False
00:01:36.529,G,,False
00:01:51.144,E,,False
00:01:54.514,E,,False
00:02:00.386,E,,False
00:02:19.506,-,,False
00:02:30.016,T,,False
00:03:07.520,G,,False
00:03:09.355,G,,False
00:03:20.033,G,,False
00:03:30.677,G,,False
00:03:39.018,I,,False
00:04:23.029,P,,False
00:05:03.002,F,,False
00:05:12.512,F,,False
00:05:15.515,I,,False
00:05:48.514,-,,False
00:06:22.782,-,,False
00:06:56.015,Y,,False
00:07:13.032,I,,False
00:08:00.513,-,,False
00:08:42.021,I,,False
00:09:14.520,G,,False
00:09:21.527,G,,False
00:09:24.530,G,,False
00:09:31.003,T,,False
00:10:13.012,P,,False
00:10:57.523,I,,False
00:11:36.529,T,,False
00:12:17.603,P,,False
00:13:30.776,P,,False
00:14:43.949,-,,False
00:15:23.522,I,,False
00:16:13.038,P,,False
00:17:02.021,G,,False
00:17:13.098,N,,False
00:17:23.008,N,,False
00:17:27.212,N,,False
00:17:41.326,N,,False
00:17:55.441,N,,False
00:18:06.852,G,,False
00:18:10.022,G,,False
00:18:14.526,G,,False
00:18:22.167,G,,False
00:18:28.507,N,,False
00:18:32.344,N,,False
00:18:44.022,N,,False
00:18:55.667,N,,False
00:19:09.014,G,,False
00:19:25.764,N,,False
00:19:37.276,N,,False
00:19:37.509,N,,False
00:19:48.787,N,,False
00:19:56.595,G,,False
00:19:59.031,G,,False
00:19:59.765,G,,False
00:20:02.935,G,,False
00:20:10.509,G,,False
00:20:39.004,G,,False
00:21:40.032,I,,False
00:21:59.518,I,,False
00:22:17.002,F,,False
00:22:25.510,F,,False
00:22:46.031,I,,False
00:23:03.515,I,,False
00:23:32.511,T,,False
00:24:07.512,F,,False
00:24:34.506,F,,False
00:25:20.519,G,,False
00:25:23.388,G,,False
00:25:38.136,G,,False
00:26:01.893,C,,False
00:26:04.029,C,,False
00:26:05.630,C,,False
00:26:09.401,C,,False
00:26:13.138,R,,False
