at,scene-label,scene-subtype-label,transitional
00:00:45.512,F,,False
00:01:03.029,M,,False
00:01:07.000,M,,False
00:01:17.010,I,,False
00:02:06.526,-,,False
00:02:57.510,I,,False
00:03:09.522,E,,False
00:03:17.530,E,,False
00:03:27.507,I,,False
00:03:28.007,I,,False
00:04:32.005,I,,False
00:05:11.010,P,,False
00:05:50.016,I,,False
00:06:35.528,I,,False
00:06:47.874,E,,False
00:06:56.649,E,,False
00:06:58.017,E,,False
00:07:07.026,E,,False
00:07:18.004,E,,False
00:07:49.268,P,,False
00:08:20.500,I,,False
00:09:16.255,P,,False
00:10:11.510,I,,False
00:10:37.269,I,,False
00:10:48.781,I,,False
00:10:50.516,I,,False
00:11:39.031,F,,False
00:12:25.010,F,,False
00:13:03.249,F,,False
00:14:19.758,F,,False
00:15:36.268,F,,False
00:16:15.007,I,,False
00:16:51.510,P,,False
00:17:26.512,I,,False
00:18:08.020,P,,False
00:18:53.031,I,,False
00:19:51.523,P,,False
00:20:51.016,I,,False
00:21:27.519,I,,False
00:22:15.500,I,,False
00:22:23.008,I,,False
00:23:12.758,P,,False
00:24:00.005,I,,False
00:24:14.319,I,,False
00:24:17.522,E,,False
00:24:25.964,E,,False
00:24:37.576,E,,False
00:24:49.221,E,,False
00:25:05.504,I,,False
00:25:49.281,P,,False
00:26:32.524,I,,False
00:27:17.035,P,,False
00:27:58.009,I,,False
00:28:22.500,I,,False
00:29:19.023,F,,False
00:30:15.513,I,,False
00:30:25.023,E,,False
00:30:58.523,I,,False
00:31:31.522,I,,False
00:31:49.507,I,,False
00:32:35.286,P,,False
00:33:23.001,I,,False
00:33:40.518,I,,False
00:34:16.521,I,,False
00:34:54.292,P,,False
00:35:31.529,I,,False
00:36:21.045,P,,False
00:37:13.497,I,,False
00:37:35.019,I,,False
00:38:26.037,F,,False
00:39:18.022,I,,False
00:39:53.023,I,,False
00:40:46.510,I,,False
00:41:27.284,P,,False
00:42:05.022,I,,False
00:42:28.512,I,,False
00:43:07.518,I,,False
00:43:46.156,P,,False
00:44:58.395,P,,False
00:45:35.999,I,,False
00:45:44.007,I,,False
00:46:22.012,I,,False
00:47:13.030,P,,False
00:48:07.517,I,,False
00:48:48.025,I,,False
00:49:13.016,I,,False
00:49:49.286,P,,False
00:50:24.021,I,,False
00:51:02.526,P,,False
00:51:18.508,I,,False
00:52:00.517,P,,False
00:52:43.026,I,,False
00:53:11.021,I,,False
00:53:53.029,P,,False
00:54:33.503,I,,False
00:55:08.004,I,,False
00:55:55.785,P,,False
00:56:39.529,I,,False
00:57:39.923,C,,False
00:57:43.693,C,,False
00:57:47.497,C,,False
00:57:51.267,C,,False
00:57:55.038,C,,False
00:57:58.842,C,,False
00:58:02.011,C,,False
00:58:02.612,C,,False
00:58:06.416,C,,False
00:58:10.186,C,,False
00:58:13.990,C,,False
00:58:17.760,C,,False
00:58:21.531,C,,False
00:58:25.335,C,,False
00:58:29.105,C,,False
