at,scene-type,subtype label,modifier
00:01:01.528,S,,False
00:01:02.062,S,,False
00:01:03.530,S,,False
00:01:04.063,S,,False
00:01:06.066,S,,False
00:01:06.533,S,,False
00:01:07.000,S,,False
00:01:10.003,S,,False
00:01:31.024,O,,True
00:01:33.026,O,,False
00:01:33.560,O,,False
00:01:34.027,O,,False
00:01:55.548,P,,False
00:01:57.050,P,,False
00:01:58.051,P,,False
00:01:59.052,F,,False
00:02:13.500,F,,False
00:02:15.034,F,,False
00:02:21.508,Y,,False
00:02:23.042,Y,,False
00:02:23.510,Y,,False
00:02:38.525,-,,False
00:02:47.534,I,,True
00:02:52.539,I,,False
00:03:14.561,I,,True
00:03:30.543,M,,False
00:03:52.565,P,,False
00:03:53.533,P,,False
00:04:03.543,I,,True
00:04:05.545,I,,False
00:04:27.533,F,,False
00:04:28.534,F,,False
00:04:29.535,F,,False
00:04:30.003,F,,False
00:04:45.018,F,,False
00:04:52.558,F,,False
00:04:53.026,F,,False
00:05:13.546,-,,False
00:05:38.037,F,,False
00:05:38.538,F,,False
00:05:39.038,F,,False
00:05:39.539,F,,False
00:05:42.542,F,,False
00:05:45.545,F,,False
00:06:04.564,P,,False
00:06:08.534,F,,False
00:06:17.043,E,,False
00:06:53.045,F,,False
00:07:11.063,-,,False
00:07:14.534,F,,False
00:07:15.034,F,,False
00:07:16.035,F,,False
00:07:17.036,F,,False
00:07:28.047,-,,False
00:07:29.549,F,,False
00:07:31.551,-,,False
00:07:33.052,-,,False
00:07:36.055,E,,False
00:07:37.557,P,,False
00:07:38.057,P,,False
00:07:40.560,I,,False
00:07:41.060,I,,False
00:07:41.561,I,,False
00:07:43.062,I,,False
00:07:48.534,P,,False
00:08:05.051,-,,False
00:08:08.554,P,,False
00:08:09.555,P,,False
00:08:10.556,P,,False
00:08:16.062,P,,False
00:08:17.063,P,,False
00:08:17.563,P,,False
00:08:19.065,P,,False
00:08:23.536,P,,False
00:08:27.540,-,,False
00:08:29.041,-,,False
00:09:04.544,P,,False
00:09:09.048,P,,False
00:09:14.053,P,,False
00:09:15.054,P,,False
00:09:17.557,P,,False
00:09:18.558,P,,False
00:09:23.062,F,,False
00:09:24.063,F,,False
00:09:24.564,F,,False
