at,scene-type,scene-subtype,transitional
00:00:03.003,M,,False
00:00:07.173,M,,False
00:00:20.520,M,,False
00:00:33.833,M,,False
00:00:55.021,I,,False
00:01:33.026,P,,False
00:02:39.025,P,,False
00:03:19.032,I,,False
00:03:26.506,I,,True
00:04:06.079,P,,False
00:05:25.258,-,,False
00:06:44.437,-,,False
00:07:26.512,-,,False
00:08:04.784,-,,False
00:08:42.522,-,,False
00:09:16.789,-,,False
00:10:19.318,P,,False
00:11:21.814,-,,False
00:12:24.343,-,,False
00:13:26.872,-,,False
00:14:29.401,P,,False
00:15:31.897,P,,False
00:16:34.426,-,,False
00:17:36.955,-,,False
00:18:39.485,-,,False
00:19:42.014,-,,False
00:20:44.509,-,,False
00:21:47.039,-,,False
00:22:49.568,-,,False
00:23:52.097,-,,False
00:24:54.593,P,,False
00:25:57.122,-,,False
00:26:59.651,-,,False
00:28:02.180,-,,False
00:29:04.676,P,,False
00:30:07.205,-,,False
00:31:09.734,-,,False
00:31:54.145,F,,False
00:32:18.503,F,,False
00:32:20.405,F,,False
00:33:15.259,P,,False
00:34:38.776,-,,False
00:35:29.527,F,,False
00:36:16.274,-,,False
00:37:26.777,F,,False
00:38:03.514,F,,False
00:38:45.523,F,,False
00:39:28.499,F,,False
00:39:36.006,F,,False
00:40:10.007,F,,False
00:41:16.006,-,,False
00:42:22.006,-,,False
00:43:28.005,-,,False
00:44:34.004,-,,False
00:45:40.003,-,,False
00:46:46.003,-,,False
00:47:52.002,-,,False
00:48:58.001,-,,False
00:50:04.001,-,,False
00:50:41.004,-,,False
00:51:14.271,-,,False
00:52:17.767,P,,False
00:53:21.264,-,,False
00:53:53.029,G,,True
00:53:54.898,G,,False
00:53:58.635,G,,False
00:54:35.272,-,,False
00:55:44.774,F,,False
00:56:54.277,-,,False
00:58:03.780,-,,False
00:58:39.015,F,,False
00:59:18.521,F,,False
01:00:34.530,F,,False
01:01:50.506,F,,False
01:02:28.511,G,,False
01:02:29.512,G,,False
01:02:31.514,G,,False
01:03:20.029,I,,False
01:03:55.565,-,,False
01:05:01.731,P,,False
01:06:07.863,P,,False
01:07:14.030,P,,False
01:08:20.162,E,,False
01:09:26.328,F,,False
01:10:32.461,-,,False
01:11:07.396,T,,False
01:11:11.066,T,,False
01:11:14.770,T,,False
01:11:18.474,T,,False
01:11:22.177,T,,False
01:11:25.881,T,,False
01:11:29.518,T,,False
01:11:29.585,T,,False
01:11:33.289,T,,False
01:11:36.959,T,,False
01:11:40.663,T,,False
01:11:44.366,T,,False
01:11:48.070,T,,False
01:11:51.774,T,,False
01:11:55.477,T,,False
01:11:59.181,T,,False
01:12:04.386,T,,False
01:12:06.522,T,,False
01:12:08.157,T,,False
01:12:11.894,T,,False
01:12:15.631,T,,False
01:12:51.266,F,,False
01:13:58.767,-,,False
01:15:06.268,-,,False
01:16:13.769,-,,False
01:17:21.269,P,,False
01:18:28.770,P,,False
01:19:06.508,I,,False
01:19:43.712,E,,False
01:20:47.108,E,,False
01:21:50.472,E,,False
01:22:53.868,E,,False
01:23:57.232,E,,False
01:25:00.628,E,,False
01:26:04.025,E,,False
01:27:07.388,-,,False
01:28:10.785,-,,False
01:29:14.148,E,,False
01:30:17.545,F,,False
01:31:20.908,-,,False
01:32:24.305,-,,False
01:32:57.872,T,,False
01:33:01.576,T,,False
01:33:04.011,T,,False
01:33:05.279,T,,False
01:33:08.983,T,,False
01:33:12.687,T,,False
01:33:25.333,T,,False
01:33:28.970,T,,False
01:33:32.607,T,,False
01:33:35.509,T,,False
01:33:36.277,T,,False
01:33:39.914,T,,False
01:33:43.551,T,,False
01:33:47.188,T,,False
01:33:57.632,M,,False
01:33:59.000,M,,False
01:34:05.873,M,,False
