at,scene-type,scene-subtype,transitional
00:00:00.033,B,,False
00:00:31.031,G,,False
00:00:47.514,F,,False
00:01:05.031,F,,False
00:01:11.504,F,,False
00:01:20.513,L,,False
00:02:05.758,P,,False
00:02:53.506,I,,False
00:03:40.386,P,,False
00:05:09.142,-,,False
00:05:55.021,P,,False
00:06:01.527,I,,False
00:06:36.529,P,,False
00:07:43.529,-,,False
00:08:17.530,I,,False
00:08:55.868,P,,False
00:10:09.542,-,,False
00:11:23.182,P,,False
00:12:04.523,I,,False
00:12:39.024,P,,False
00:13:06.018,I,,False
00:13:49.261,-,,False
00:14:34.006,I,,False
00:15:29.762,P,,False
00:16:24.516,I,,False
00:17:05.023,P,,False
00:18:19.998,P,,False
00:18:59.505,I,,False
00:19:15.521,P,,False
00:19:40.512,P,,False
00:20:19.284,P,,False
00:20:59.024,I,,False
00:21:37.162,P,,False
00:22:44.463,P,,False
00:23:51.730,P,,False
00:24:59.030,-,,False
00:26:06.298,P,,False
00:27:13.565,P,,False
00:28:20.865,P,,False
00:28:56.067,C,,False
00:28:58.503,C,,False
00:28:59.204,C,,False
00:29:02.307,C,,False
00:29:05.443,C,,False
00:29:18.857,C,,False
00:29:21.526,C,,False
00:29:21.526,C,,False
00:29:24.195,C,,False
